,lon,lat,locid,V1,V2,Shape_Length,Shape_Area,Location,State
115,153.125,-28.5,71382,534,124,2.250000001,0.3125,Cell 811,NSW1
116,150,-28.5,71377,529,124,2.249999999,0.3125,Cell 806,QLD1
117,150.625,-28.5,71378,530,124,2.249999999,0.3125,Cell 807,QLD1
118,151.875,-28.5,71380,532,124,2.249999999,0.3125,Cell 809,QLD1
119,150.625,-28,71954,530,125,2.249999999,0.3125,Cell 870,QLD1
120,151.25,-28,71955,531,125,2.250000001,0.3125,Cell 871,QLD1
121,151.875,-28,71956,532,125,2.249999999,0.3125,Cell 872,QLD1
122,153.125,-28,71958,534,125,2.250000001,0.3125,Cell 874,QLD1
123,150.625,-27.5,72530,530,126,2.249999999,0.3125,Cell 933,QLD1
124,151.25,-27.5,72531,531,126,2.250000001,0.3125,Cell 934,QLD1
125,151.875,-27.5,72532,532,126,2.249999999,0.3125,Cell 935,QLD1
126,152.5,-27.5,72533,533,126,2.249999999,0.3125,Cell 936,QLD1
127,153.125,-27.5,72534,534,126,2.250000001,0.3125,Cell 937,QLD1
128,150,-27,73105,529,127,2.249999999,0.3125,Cell 995,QLD1
129,150.625,-27,73106,530,127,2.249999999,0.3125,Cell 996,QLD1
130,151.25,-27,73107,531,127,2.250000001,0.3125,Cell 997,QLD1
131,151.875,-27,73108,532,127,2.249999999,0.3125,Cell 998,QLD1
132,152.5,-27,73109,533,127,2.249999999,0.3125,Cell 999,QLD1
133,153.125,-27,73110,534,127,2.250000001,0.3125,Cell 1000,QLD1
134,148.75,-26.5,73679,527,128,2.250000001,0.3125,Cell 1056,QLD1
135,149.375,-26.5,73680,528,128,2.250000003,0.312500001,Cell 1057,QLD1
136,150,-26.5,73681,529,128,2.250000001,0.3125,Cell 1058,QLD1
137,150.625,-26.5,73682,530,128,2.250000001,0.3125,Cell 1059,QLD1
138,151.25,-26.5,73683,531,128,2.250000003,0.312500001,Cell 1060,QLD1
139,151.875,-26.5,73684,532,128,2.250000001,0.3125,Cell 1061,QLD1
140,152.5,-26.5,73685,533,128,2.250000001,0.3125,Cell 1062,QLD1
141,149.375,-26,74256,528,129,2.250000001,0.3125,Cell 1120,QLD1
142,150,-26,74257,529,129,2.249999999,0.3125,Cell 1121,QLD1
143,151.25,-26,74259,531,129,2.250000001,0.3125,Cell 1123,QLD1
144,152.5,-26,74261,533,129,2.249999999,0.3125,Cell 1125,QLD1
145,148.75,-25.5,74831,527,130,2.249999999,0.3125,Cell 1182,QLD1
146,149.375,-25.5,74832,528,130,2.250000001,0.3125,Cell 1183,QLD1
147,150.625,-25.5,74834,530,130,2.249999999,0.3125,Cell 1185,QLD1
148,151.25,-25.5,74835,531,130,2.250000001,0.3125,Cell 1186,QLD1
149,151.875,-25.5,74836,532,130,2.249999999,0.3125,Cell 1187,QLD1
150,152.5,-25.5,74837,533,130,2.249999999,0.3125,Cell 1188,QLD1
151,150.625,-25,75410,530,131,2.249999999,0.3125,Cell 1249,QLD1
152,151.875,-25,75412,532,131,2.249999999,0.3125,Cell 1251,QLD1
153,152.5,-25,75413,533,131,2.249999999,0.3125,Cell 1252,QLD1
154,148.125,-24.5,75982,526,132,2.250000001,0.3125,Cell 1308,QLD1
155,148.75,-24.5,75983,527,132,2.249999999,0.3125,Cell 1309,QLD1
156,150,-24.5,75985,529,132,2.249999999,0.3125,Cell 1311,QLD1
157,150.625,-24.5,75986,530,132,2.249999999,0.3125,Cell 1312,QLD1
158,151.25,-24.5,75987,531,132,2.250000001,0.3125,Cell 1313,QLD1
159,151.875,-24.5,75988,532,132,2.249999999,0.3125,Cell 1314,QLD1
160,148.75,-24,76559,527,133,2.249999999,0.3125,Cell 1371,QLD1
161,149.375,-24,76560,528,133,2.250000001,0.3125,Cell 1372,QLD1
162,150,-24,76561,529,133,2.249999999,0.3125,Cell 1373,QLD1
163,150.625,-24,76562,530,133,2.249999999,0.3125,Cell 1374,QLD1
164,151.25,-24,76563,531,133,2.250000001,0.3125,Cell 1375,QLD1
165,145,-23.5,77129,521,134,2.250000001,0.3125,Cell 1425,QLD1
166,145.625,-23.5,77130,522,134,2.249999999,0.3125,Cell 1426,QLD1
167,146.25,-23.5,77131,523,134,2.250000001,0.3125,Cell 1427,QLD1
168,146.875,-23.5,77132,524,134,2.249999999,0.3125,Cell 1428,QLD1
169,148.75,-23.5,77135,527,134,2.249999999,0.3125,Cell 1431,QLD1
170,149.375,-23.5,77136,528,134,2.250000001,0.3125,Cell 1432,QLD1
171,150,-23.5,77137,529,134,2.249999999,0.3125,Cell 1433,QLD1
172,150.625,-23.5,77138,530,134,2.249999999,0.3125,Cell 1434,QLD1
173,146.875,-23,77708,524,135,2.249999999,0.3125,Cell 1487,QLD1
174,147.5,-23,77709,525,135,2.249999999,0.3125,Cell 1488,QLD1
175,148.125,-23,77710,526,135,2.250000001,0.3125,Cell 1489,QLD1
176,148.75,-23,77711,527,135,2.249999999,0.3125,Cell 1490,QLD1
177,149.375,-23,77712,528,135,2.250000001,0.3125,Cell 1491,QLD1
178,150,-23,77713,529,135,2.249999999,0.3125,Cell 1492,QLD1
179,147.5,-22.5,78285,525,136,2.249999999,0.3125,Cell 1548,QLD1
180,148.125,-22.5,78286,526,136,2.250000001,0.3125,Cell 1549,QLD1
181,148.75,-22.5,78287,527,136,2.249999999,0.3125,Cell 1550,QLD1
182,149.375,-22.5,78288,528,136,2.250000001,0.3125,Cell 1551,QLD1
183,148.125,-22,78862,526,137,2.250000003,0.312500001,Cell 1607,QLD1
184,148.75,-22,78863,527,137,2.250000001,0.3125,Cell 1608,QLD1
185,149.375,-22,78864,528,137,2.250000003,0.312500001,Cell 1609,QLD1
186,148.125,-21.5,79438,526,138,2.250000001,0.3125,Cell 1662,QLD1
187,148.75,-21.5,79439,527,138,2.249999999,0.3125,Cell 1663,QLD1
188,149.375,-21.5,79440,528,138,2.250000001,0.3125,Cell 1664,QLD1
189,139.375,-21,80000,512,139,2.249999999,0.3125,Cell 1702,QLD1
190,140,-21,80001,513,139,2.250000001,0.3125,Cell 1703,QLD1
191,144.375,-21,80008,520,139,2.249999999,0.3125,Cell 1710,QLD1
192,145,-21,80009,521,139,2.250000001,0.3125,Cell 1711,QLD1
193,147.5,-21,80013,525,139,2.249999999,0.3125,Cell 1715,QLD1
194,148.125,-21,80014,526,139,2.250000001,0.3125,Cell 1716,QLD1
195,148.75,-21,80015,527,139,2.249999999,0.3125,Cell 1717,QLD1
196,139.375,-20.5,80576,512,140,2.249999999,0.3125,Cell 1753,QLD1
197,140,-20.5,80577,513,140,2.250000001,0.3125,Cell 1754,QLD1
198,140.625,-20.5,80578,514,140,2.249999999,0.3125,Cell 1755,QLD1
199,145,-20.5,80585,521,140,2.250000001,0.3125,Cell 1762,QLD1
200,145.625,-20.5,80586,522,140,2.249999999,0.3125,Cell 1763,QLD1
201,147.5,-20.5,80589,525,140,2.249999999,0.3125,Cell 1766,QLD1
202,148.125,-20.5,80590,526,140,2.250000001,0.3125,Cell 1767,QLD1
203,139.375,-20,81152,512,141,2.249999999,0.3125,Cell 1800,QLD1
204,146.25,-20,81163,523,141,2.250000001,0.3125,Cell 1811,QLD1
205,146.875,-20,81164,524,141,2.249999999,0.3125,Cell 1812,QLD1
206,147.5,-20,81165,525,141,2.249999999,0.3125,Cell 1813,QLD1
207,148.125,-20,81166,526,141,2.250000001,0.3125,Cell 1814,QLD1
208,138.75,-19.5,81727,511,142,2.249999999,0.3125,Cell 1843,QLD1
209,139.375,-19.5,81728,512,142,2.249999999,0.3125,Cell 1844,QLD1
210,145.625,-19.5,81738,522,142,2.249999999,0.3125,Cell 1854,QLD1
211,146.25,-19.5,81739,523,142,2.250000001,0.3125,Cell 1855,QLD1
212,146.875,-19.5,81740,524,142,2.249999999,0.3125,Cell 1856,QLD1
213,138.75,-19,82303,511,143,2.249999999,0.3125,Cell 1885,QLD1
214,143.75,-19,82311,519,143,2.249999999,0.3125,Cell 1893,QLD1
215,144.375,-19,82312,520,143,2.249999999,0.3125,Cell 1894,QLD1
216,145,-19,82313,521,143,2.250000001,0.3125,Cell 1895,QLD1
217,145.625,-19,82314,522,143,2.249999999,0.3125,Cell 1896,QLD1
218,146.25,-19,82315,523,143,2.250000001,0.3125,Cell 1897,QLD1
219,138.75,-18.5,82879,511,144,2.249999999,0.3125,Cell 1925,QLD1
220,143.75,-18.5,82887,519,144,2.249999999,0.3125,Cell 1933,QLD1
221,145.625,-18.5,82890,522,144,2.249999999,0.3125,Cell 1936,QLD1
222,146.25,-18.5,82891,523,144,2.250000001,0.3125,Cell 1937,QLD1
223,145.625,-18,83466,522,145,2.249999999,0.3125,Cell 1975,QLD1
224,145.625,-17.5,84042,522,146,2.250000001,0.3125,Cell 2011,QLD1
225,145.625,-17,84618,522,147,2.249999999,0.3125,Cell 2045,QLD1
226,145,-16.5,85193,521,148,2.250000001,0.3125,Cell 2075,QLD1
227,145,-16,85769,521,149,2.250000001,0.3125,Cell 2101,QLD1
228,145,-15.5,86345,521,150,2.250000001,0.3125,Cell 2126,QLD1
229,140.625,-38,60418,514,105,2.249999999,0.3125,Cell 30,SA1
230,140.625,-37.5,60994,514,106,2.249999999,0.3125,Cell 41,SA1
231,140,-37,61569,513,107,2.250000001,0.3125,Cell 56,SA1
