country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,MERRA-2,Point 337,9,-41.0,145.625,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2023,1,1,0,0,13,-163,48.4,9.3,0.0,0.0,0,0.0,0,1001.6,59.5,8.31,90.0,,
2023,1,1,1,0,13.1,-149,69.2,9.6,0.0,0.0,0,0.0,0,1001.2,68.1,7.98,90.0,,
2023,1,1,2,0,13.2,-136,80.9,10,0.0,0.0,0,0.0,0,1000.7,245.4,8.27,90.0,,
2023,1,1,3,0,13.4,-125,79.4,10.5,0.0,0.0,0,0.0,0,1000.8,215.1,8.1,90.0,,
2023,1,1,4,0,13.6,-116,86.8,11.1,0.0,0.0,0,0.0,0,1001.2,191,8.02,90.0,,
2023,1,1,5,0,13.8,-107,88.2,11.8,22.9,0.82,0,22.982296606177997,0,1001.7,179.3,7.84,84.24,,
2023,1,1,6,0,14.2,-98,82.3,12.5,112.66,40.08,0,123.92926246987726,0,1002.3,159.8,7.76,73.67,,
2023,1,1,7,0,14.8,-88,90.4,13.2,208.01,34.58,0,223.93978120157544,0,1003,138.1,8.21,62.57,,
2023,1,1,8,0,15.4,-76,88.5,13.9,286.33,4.19,0,288.95318963253294,0,1003.7,28.5,8.31,51.24,,
2023,1,1,9,0,15.9,-60,80.8,13.5,354.43,71.78,0,409.42472211560175,0,1004,263.1,8.3,39.99,,
2023,1,1,10,0,16.4,-33,59.9,12.3,357.98,292.95,7,613.2271817046902,0,1004.1,258.3,8.16,29.39,,
2023,1,1,11,0,16.9,6,25.9,10.9,359.85,393.54,353,727.6192027927159,0,1004.2,235.9,7.98,20.85,,
2023,1,1,12,0,17.1,42,5.9,9.7,367.25,341.33,734,691.9843977077361,0,1004.4,243.1,7.86,17.94,,
2023,1,1,13,0,17.2,65,7.9,8.6,388.74,318.98,628,682.4278568530034,0,1004.7,234.4,7.76,22.97,,
2023,1,1,14,0,17.2,80,4.1,7.6,324.67,675.73,606,895.4603455474748,0,1005,232.8,7.66,32.36,,
2023,1,1,15,0,16.9,91,0,7,297.2,272.89,544,495.96515397120817,0,1005.3,227,7.48,43.25,,
2023,1,1,16,0,16.3,100,0.2,6.8,177.02,453.7,349,440.0334709780451,0,1005.7,217,7.3,54.57,,
2023,1,1,17,0,15.6,109,12.4,6.7,158.73,232.65,117,253.87632128283394,0,1006.1,220.5,7.13,65.86,,
2023,1,1,18,0,14.7,118,6.9,6.7,97.03,59.89,10,110.66522386926492,0,1006.5,221.9,6.9,76.84,,
2023,1,1,19,0,13.5,129,0.6,6.8,19.66,48.8,0,22.213994664655665,0,1006.9,210.6,6.34,87.0,,
2023,1,1,20,0,12.3,140,32.9,6.8,0.0,0.0,0,0.0,0,1007.3,198.9,6.27,90.0,,
2023,1,1,21,0,11.6,153,18.4,7,0.0,0.0,0,0.0,0,1007.4,202.4,6.31,90.0,,
2023,1,1,22,0,11.3,167,0.6,7.3,0.0,0.0,0,0.0,0,1007.2,198.5,5.94,90.0,,
2023,1,1,23,0,11,-178,33.5,7.6,0.0,0.0,0,0.0,0,1007,181.4,5.92,90.0,,
2023,1,2,0,0,10.9,-163,49.4,7.9,0.0,0.0,0,0.0,0,1006.8,139.9,5.91,90.0,,
2023,1,2,1,0,11,-149,41.5,8.2,0.0,0.0,0,0.0,0,1006.7,93.8,5.8,90.0,,
2023,1,2,2,0,11.1,-136,13.7,8.5,0.0,0.0,0,0.0,0,1006.6,85.9,6.14,90.0,,
2023,1,2,3,0,11.8,-126,0.7,9.1,0.0,0.0,0,0.0,0,1006.6,95.5,6.41,90.0,,
2023,1,2,4,0,12.9,-116,34.1,10,0.0,0.0,0,0.0,0,1006.8,89.6,6.65,90.0,,
2023,1,2,5,0,14.1,-107,62.1,10.9,30.21,74.29,0,37.4852415193979,0,1007.1,78.4,6.5,84.38,,
2023,1,2,6,0,15.5,-98,66.4,11.7,107.41,317.24,0,195.9171384798851,0,1007,74,5.81,73.8,,
2023,1,2,7,0,17.1,-88,49.3,12.4,147.88,559.36,3,404.3434580884024,0,1006.8,84,4.73,62.71,,
2023,1,2,8,0,18.7,-76,27.8,13.1,201.72,626.68,148,592.8638014681725,0,1006.5,85.9,4.85,51.38,,
2023,1,2,9,0,19.5,-60,23.1,13.4,145.18,796.31,211,754.0259119044695,0,1006.1,83.1,4.28,40.13,,
2023,1,2,10,0,19.8,-33,47.7,13.3,164.43,787.13,72,849.3777388130238,0,1005.5,83.5,3.6,29.52,,
2023,1,2,11,0,19.9,6,51.5,13.2,331.24,563.91,0,857.8010787832039,0,1005,83.1,3.34,20.97,,
2023,1,2,12,0,20.1,42,40.8,13.2,280.18,538.74,1,792.4940439561437,0,1004.4,81.7,5.06,18.02,,
2023,1,2,13,0,20.1,65,33.4,13.4,401.22,518.16,44,878.2594381103311,0,1003.7,82.7,7.46,22.98,,
2023,1,2,14,0,20.2,80,33.2,13.6,248.73,582.62,27,740.9789838692939,0,1003.1,82.4,8.75,32.34,,
2023,1,2,15,0,20,91,28.2,13.7,175.0,716.39,52,697.1402356269363,0,1002.5,84.4,9.79,43.21,,
2023,1,2,16,0,19.6,100,38.5,13.8,165.49,766.19,29,610.2010347166733,0,1001.9,88.9,10.02,54.52,,
2023,1,2,17,0,19.2,109,21.9,13.8,141.05,412.99,21,310.21261155541504,0,1001.3,89.4,9.7,65.82,,
