#Name,Long,Lat,Start year,End year
Cell 1314,151.875,-24.5,2022,2023
Cell 1371,148.75,-24,2022,2023
Cell 1372,149.375,-24,2022,2023
Cell 1373,150,-24,2022,2023
Cell 1374,150.625,-24,2022,2023
Cell 1375,151.25,-24,2022,2023
Cell 1425,145,-23.5,2022,2023
Cell 1426,145.625,-23.5,2022,2023
Cell 1427,146.25,-23.5,2022,2023
Cell 1428,146.875,-23.5,2022,2023
Cell 1431,148.75,-23.5,2022,2023
Cell 1432,149.375,-23.5,2022,2023
Cell 1433,150,-23.5,2022,2023
Cell 1434,150.625,-23.5,2022,2023
Cell 1487,146.875,-23,2022,2023
Cell 1488,147.5,-23,2022,2023
Cell 1489,148.125,-23,2022,2023
Cell 1490,148.75,-23,2022,2023
Cell 1491,149.375,-23,2022,2023
Cell 1492,150,-23,2022,2023
Cell 1548,147.5,-22.5,2022,2023
Cell 1549,148.125,-22.5,2022,2023
Cell 1550,148.75,-22.5,2022,2023
Cell 1551,149.375,-22.5,2022,2023
Cell 1607,148.125,-22,2022,2023
Cell 1608,148.75,-22,2022,2023
Cell 1609,149.375,-22,2022,2023
Cell 1662,148.125,-21.5,2022,2023
Cell 1663,148.75,-21.5,2022,2023
Cell 1664,149.375,-21.5,2022,2023
Cell 1702,139.375,-21,2022,2023
Cell 1703,140,-21,2022,2023
Cell 1710,144.375,-21,2022,2023
Cell 1711,145,-21,2022,2023
Cell 1715,147.5,-21,2022,2023
Cell 1716,148.125,-21,2022,2023
Cell 1717,148.75,-21,2022,2023
Cell 1753,139.375,-20.5,2022,2023
Cell 1754,140,-20.5,2022,2023
Cell 1755,140.625,-20.5,2022,2023
Cell 1762,145,-20.5,2022,2023
Cell 1763,145.625,-20.5,2022,2023
Cell 1766,147.5,-20.5,2022,2023
Cell 1767,148.125,-20.5,2022,2023
Cell 1800,139.375,-20,2022,2023
Cell 1811,146.25,-20,2022,2023
Cell 1812,146.875,-20,2022,2023
Cell 1813,147.5,-20,2022,2023
Cell 1814,148.125,-20,2022,2023
Cell 1843,138.75,-19.5,2022,2023
Cell 1844,139.375,-19.5,2022,2023
Cell 1854,145.625,-19.5,2022,2023
Cell 1855,146.25,-19.5,2022,2023
Cell 1856,146.875,-19.5,2022,2023
Cell 1885,138.75,-19,2022,2023
Cell 1893,143.75,-19,2022,2023
Cell 1894,144.375,-19,2022,2023
Cell 1895,145,-19,2022,2023
Cell 1896,145.625,-19,2022,2023
Cell 1897,146.25,-19,2022,2023
Cell 1925,138.75,-18.5,2022,2023
Cell 1933,143.75,-18.5,2022,2023
Cell 1936,145.625,-18.5,2022,2023
Cell 1937,146.25,-18.5,2022,2023
Cell 1975,145.625,-18,2022,2023
Cell 2011,145.625,-17.5,2022,2023
Cell 2045,145.625,-17,2022,2023
Cell 2075,145,-16.5,2022,2023
Cell 2101,145,-16,2022,2023
Cell 2126,145,-15.5,2022,2023
Cell 30,140.625,-38,2022,2023
Cell 41,140.625,-37.5,2022,2023
Cell 56,140,-37,2022,2023
Cell 57,140.625,-37,2022,2023
Cell 72,140,-36.5,2022,2023
Cell 73,140.625,-36.5,2022,2023
Cell 91,140,-36,2022,2023
Cell 92,140.625,-36,2022,2023
Cell 108,138.75,-35.5,2022,2023
Cell 109,139.375,-35.5,2022,2023
Cell 110,140,-35.5,2022,2023
Cell 129,137.5,-35,2022,2023
Cell 130,138.75,-35,2022,2023
Cell 131,139.375,-35,2022,2023
Cell 155,135.625,-34.5,2022,2023
Cell 156,137.5,-34.5,2022,2023
Cell 157,138.75,-34.5,2022,2023
Cell 158,139.375,-34.5,2022,2023
Cell 160,140.625,-34.5,2022,2023
Cell 186,136.25,-34,2022,2023
Cell 187,138.125,-34,2022,2023
Cell 188,138.75,-34,2022,2023
Cell 189,139.375,-34,2022,2023
Cell 190,140,-34,2022,2023
Cell 191,140.625,-34,2022,2023
Cell 223,135.625,-33.5,2022,2023
Cell 224,136.25,-33.5,2022,2023
Cell 225,136.875,-33.5,2022,2023
Cell 226,138.125,-33.5,2022,2023
Cell 227,138.75,-33.5,2022,2023
Cell 263,135.625,-33,2022,2023
Cell 265,136.875,-33,2022,2023
Cell 266,137.5,-33,2022,2023
Cell 267,138.125,-33,2022,2023
Cell 268,138.75,-33,2022,2023
Cell 309,137.5,-32.5,2022,2023
Cell 310,138.125,-32.5,2022,2023
Cell 360,137.5,-32,2022,2023
Cell 361,138.125,-32,2022,2023
Cell 418,136.875,-31.5,2022,2023
Cell 419,137.5,-31.5,2022,2023
Cell 420,138.125,-31.5,2022,2023
Cell 478,136.875,-31,2022,2023
Cell 480,138.125,-31,2022,2023
Cell 537,136.25,-30.5,2022,2023
Cell 538,136.875,-30.5,2022,2023
Cell 540,138.125,-30.5,2022,2023
Cell 597,135.625,-30,2022,2023
Cell 598,136.25,-30,2022,2023
Cell 659,135.625,-29.5,2022,2023
Cell 2,146.25,-43,2022,2023
Cell 3,146.875,-43,2022,2023
Cell 4,147.5,-43,2022,2023
Cell 6,146.25,-42.5,2022,2023
Cell 7,146.875,-42.5,2022,2023
Cell 8,147.5,-42.5,2022,2023
Cell 9,145.625,-42,2022,2023
Cell 10,146.25,-42,2022,2023
Cell 11,146.875,-42,2022,2023
Cell 12,147.5,-42,2022,2023
Cell 14,145,-41.5,2022,2023
Cell 15,145.625,-41.5,2022,2023
Cell 16,146.25,-41.5,2022,2023
Cell 17,146.875,-41.5,2022,2023
Cell 18,147.5,-41.5,2022,2023
Cell 19,148.125,-41.5,2022,2023
Cell 20,145,-41,2022,2023
Cell 21,145.625,-41,2022,2023
Cell 22,147.5,-41,2022,2023
Cell 23,148.125,-41,2022,2023
Cell 25,143.125,-38.5,2022,2023
Cell 26,143.75,-38.5,2022,2023
Cell 28,146.25,-38.5,2022,2023
Cell 29,146.875,-38.5,2022,2023
Cell 32,141.875,-38,2022,2023
Cell 33,142.5,-38,2022,2023
Cell 34,143.125,-38,2022,2023
Cell 35,143.75,-38,2022,2023
Cell 36,144.375,-38,2022,2023
Cell 37,145.625,-38,2022,2023
Cell 38,146.25,-38,2022,2023
Cell 39,146.875,-38,2022,2023
Cell 40,147.5,-38,2022,2023
Cell 44,142.5,-37.5,2022,2023
Cell 45,143.125,-37.5,2022,2023
Cell 46,143.75,-37.5,2022,2023
Cell 48,145,-37.5,2022,2023
Cell 49,145.625,-37.5,2022,2023
Cell 60,142.5,-37,2022,2023
Cell 61,143.125,-37,2022,2023
Cell 62,143.75,-37,2022,2023
Cell 63,144.375,-37,2022,2023
Cell 65,145.625,-37,2022,2023
Cell 66,146.25,-37,2022,2023
Cell 67,146.875,-37,2022,2023
Cell 68,147.5,-37,2022,2023
Cell 76,142.5,-36.5,2022,2023
Cell 79,144.375,-36.5,2022,2023
Cell 80,145,-36.5,2022,2023
Cell 81,145.625,-36.5,2022,2023
Cell 82,146.25,-36.5,2022,2023
Cell 83,146.875,-36.5,2022,2023
Cell 84,147.5,-36.5,2022,2023
Cell 85,148.125,-36.5,2022,2023
Cell 97,143.75,-36,2022,2023
Cell 98,144.375,-36,2022,2023
Cell 99,145,-36,2022,2023
Cell 100,145.625,-36,2022,2023
Cell 115,143.125,-35.5,2022,2023
Cell 116,143.75,-35.5,2022,2023
Cell 136,142.5,-35,2022,2023
Cell 137,143.125,-35,2022,2023
Cell 2127,151.749997,-32.916663,2022,2023
