Unnamed: 0,country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
0,Australia,MERRA-2,Point 2,9,-28.5,150.625,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
1,Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2,2023,1,1,0,0,13,-163,48.4,9.3,0.0,0.0,0,0.0,0,1001.6,59.5,9.9,90.0,,
3,2023,1,1,1,0,13.1,-149,69.2,9.6,0.0,0.0,0,0.0,0,1001.2,68.1,9.52,90.0,,
4,2023,1,1,2,0,13.2,-136,80.9,10,0.0,0.0,0,0.0,0,1000.7,245.4,8.68,90.0,,
5,2023,1,1,3,0,13.4,-125,79.4,10.5,0.0,0.0,0,0.0,0,1000.8,215.1,7.74,90.0,,
6,2023,1,1,4,0,13.6,-116,86.8,11.1,0.0,0.0,0,0.0,0,1001.2,191,6.82,90.0,,
7,2023,1,1,5,0,13.8,-107,88.2,11.8,24.82,187.78,0,39.716407175254965,0,1001.7,179.3,6.6,85.45,,
8,2023,1,1,6,0,14.2,-98,82.3,12.5,57.68,634.06,0,240.30775398152446,0,1002.3,159.8,7.55,73.26,,
9,2023,1,1,7,0,14.8,-88,90.4,13.2,71.38,818.31,0,473.7134402417454,0,1003,138.1,6.56,60.55,,
10,2023,1,1,8,0,15.4,-76,88.5,13.9,76.46,911.44,0,691.046168139309,0,1003.7,28.5,4.72,47.6,,
11,2023,1,1,9,0,15.9,-60,80.8,13.5,80.28,956.07,0,868.0132496173276,0,1004,263.1,3.05,34.52,,
12,2023,1,1,10,0,16.4,-33,59.9,12.3,88.85,954.58,7,976.7023580408407,0,1004.1,258.3,2.57,21.55,,
13,2023,1,1,11,0,16.9,6,25.9,10.9,83.04,988.86,353,1057.7045143590383,0,1004.2,235.9,3.11,9.72,,
14,2023,1,1,12,0,17.1,42,5.9,9.7,122.43,921.75,734,1032.0122049175645,0,1004.4,243.1,3.7,9.32,,
15,2023,1,1,13,0,17.2,65,7.9,8.6,166.93,854.4,628,964.4741874809336,0,1004.7,234.4,4.22,21.02,,
16,2023,1,1,14,0,17.2,80,4.1,7.6,145.12,822.29,606,826.9897710178427,0,1005,232.8,4.74,33.98,,
17,2023,1,1,15,0,16.9,91,0,7,122.9,798.11,544,666.5981628634275,0,1005.3,227,5.12,47.06,,
18,2023,1,1,16,0,16.3,100,0.2,6.8,87.33,658.42,349,416.2413944418978,0,1005.7,217,5.32,60.03,,
