Unnamed: 0,country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
0,Australia,MERRA-2,Point 4,9,-28.5,151.875,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
1,Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2,2023,1,1,0,0,13,-163,48.4,9.3,0.0,0.0,0,0.0,0,1001.6,59.5,7.0,90.0,,
3,2023,1,1,1,0,13.1,-149,69.2,9.6,0.0,0.0,0,0.0,0,1001.2,68.1,6.73,90.0,,
4,2023,1,1,2,0,13.2,-136,80.9,10,0.0,0.0,0,0.0,0,1000.7,245.4,6.72,90.0,,
5,2023,1,1,3,0,13.4,-125,79.4,10.5,0.0,0.0,0,0.0,0,1000.8,215.1,6.57,90.0,,
6,2023,1,1,4,0,13.6,-116,86.8,11.1,0.0,0.0,0,0.0,0,1001.2,191,6.52,90.0,,
7,2023,1,1,5,0,13.8,-107,88.2,11.8,28.65,193.89,0,46.49234108656704,0,1001.7,179.3,6.66,84.72,,
8,2023,1,1,6,0,14.2,-98,82.3,12.5,76.94,575.87,0,250.87413128126073,0,1002.3,159.8,7.2,72.42,,
9,2023,1,1,7,0,14.8,-88,90.4,13.2,110.64,744.82,0,486.42226476990265,0,1003,138.1,6.64,59.7,,
10,2023,1,1,8,0,15.4,-76,88.5,13.9,123.15,800.02,0,671.5134671515356,0,1003.7,28.5,5.57,46.73,,
11,2023,1,1,9,0,15.9,-60,80.8,13.5,134.45,863.36,0,853.1436702892695,0,1004,263.1,4.63,33.65,,
12,2023,1,1,10,0,16.4,-33,59.9,12.3,270.37,684.05,7,910.2604892891707,0,1004.1,258.3,4.29,20.7,,
13,2023,1,1,11,0,16.9,6,25.9,10.9,310.18,624.74,353,927.074137425745,0,1004.2,235.9,4.15,9.09,,
14,2023,1,1,12,0,17.1,42,5.9,9.7,325.83,592.26,734,909.1460092920784,0,1004.4,243.1,4.04,9.97,,
15,2023,1,1,13,0,17.2,65,7.9,8.6,111.23,838.68,628,889.551393548505,0,1004.7,234.4,4.08,21.87,,
16,2023,1,1,14,0,17.2,80,4.1,7.6,274.6,548.34,606,724.5956898221464,0,1005,232.8,4.29,34.85,,
17,2023,1,1,15,0,16.9,91,0,7,237.67,485.91,544,563.2481788823052,0,1005.3,227,4.82,47.93,,
18,2023,1,1,16,0,16.3,100,0.2,6.8,111.9,393.31,349,303.24054613097917,0,1005.7,217,5.9,60.89,,
19,2023,1,1,17,0,15.6,109,12.4,6.7,67.99,554.28,117,224.57902445403465,0,1006.1,220.5,7.25,73.59,,
20,2023,1,1,18,0,14.7,118,6.9,6.7,25.01,109.05,10,33.14847118172781,0,1006.5,221.9,8.47,85.72,,
21,2023,1,1,19,0,13.5,129,0.6,6.8,0.0,0.0,0,0.0,0,1006.9,210.6,9.15,90.0,,
22,2023,1,1,20,0,12.3,140,32.9,6.8,0.0,0.0,0,0.0,0,1007.3,198.9,8.96,90.0,,
23,2023,1,1,21,0,11.6,153,18.4,7,0.0,0.0,0,0.0,0,1007.4,202.4,8.24,90.0,,
24,2023,1,1,22,0,11.3,167,0.6,7.3,0.0,0.0,0,0.0,0,1007.2,198.5,7.95,90.0,,
25,2023,1,1,23,0,11,-178,33.5,7.6,0.0,0.0,0,0.0,0,1007,181.4,7.72,90.0,,
26,2023,1,2,0,0,10.9,-163,49.4,7.9,0.0,0.0,0,0.0,0,1006.8,139.9,7.31,90.0,,
27,2023,1,2,1,0,11,-149,41.5,8.2,0.0,0.0,0,0.0,0,1006.7,93.8,6.62,90.0,,
28,2023,1,2,2,0,11.1,-136,13.7,8.5,0.0,0.0,0,0.0,0,1006.6,85.9,5.68,90.0,,
29,2023,1,2,3,0,11.8,-126,0.7,9.1,0.0,0.0,0,0.0,0,1006.6,95.5,5.38,90.0,,
30,2023,1,2,4,0,12.9,-116,34.1,10,0.0,0.0,0,0.0,0,1006.8,89.6,5.21,90.0,,
31,2023,1,2,5,0,14.1,-107,62.1,10.9,28.62,196.97,0,46.33494992164189,0,1007.1,78.4,5.31,84.84,,
32,2023,1,2,6,0,15.5,-98,66.4,11.7,70.27,698.91,0,279.85452502748296,0,1007,74,5.85,72.55,,
33,2023,1,2,7,0,17.1,-88,49.3,12.4,82.72,807.01,3,488.29687266068913,0,1006.8,84,5.2,59.83,,
34,2023,1,2,8,0,18.7,-76,27.8,13.1,247.22,574.95,148,640.4344570906947,0,1006.5,85.9,3.58,46.85,,
35,2023,1,2,9,0,19.5,-60,23.1,13.4,170.42,808.71,211,842.6024475841161,0,1006.1,83.1,3.34,33.78,,
36,2023,1,2,10,0,19.8,-33,47.7,13.3,362.18,471.41,72,802.7784607609688,0,1005.5,83.5,3.89,20.83,,
37,2023,1,2,11,0,19.9,6,51.5,13.2,555.24,278.38,0,830.0312212221863,0,1005,83.1,4.45,9.21,,
38,2023,1,2,12,0,20.1,42,40.8,13.2,425.19,463.37,1,881.60437931622,0,1004.4,81.7,4.69,9.94,,
39,2023,1,2,13,0,20.1,65,33.4,13.4,161.51,673.82,44,787.1423198688972,0,1003.7,82.7,4.59,21.8,,
40,2023,1,2,14,0,20.2,80,33.2,13.6,326.66,435.69,27,684.5132738171096,0,1003.1,82.4,4.3,34.78,,
41,2023,1,2,15,0,20,91,28.2,13.7,292.11,234.49,52,449.47010935328274,0,1002.5,84.4,3.86,47.85,,
42,2023,1,2,16,0,19.6,100,38.5,13.8,113.63,432.2,29,324.3512373469963,0,1001.9,88.9,3.51,60.82,,
43,2023,1,2,17,0,19.2,109,21.9,13.8,75.83,360.51,21,178.09970614975094,0,1001.3,89.4,3.93,73.52,,
44,2023,1,2,18,0,19.1,118,37.1,13.8,23.78,140.57,12,34.36868905306147,0,1000.9,93.4,5.25,85.68,,
45,2023,1,2,19,0,19.2,128,20.2,14,0.0,0.0,0,0.0,0,1000.6,95,6.73,90.0,,
46,2023,1,2,20,0,19.4,140,45,14.1,0.0,0.0,0,0.0,0,1000.4,96.6,7.69,90.0,,
47,2023,1,2,21,0,19.5,153,57.1,14.1,0.0,0.0,0,0.0,0,999.9,97.6,7.43,90.0,,
48,2023,1,2,22,0,19.7,167,18.1,14.1,0.0,0.0,0,0.0,0,999.2,101.2,6.71,90.0,,
49,2023,1,2,23,0,19.8,-178,0,14.1,0.0,0.0,0,0.0,0,998.5,104.1,6.03,90.0,,
50,2023,1,3,0,0,20,-163,0.6,13.9,0.0,0.0,0,0.0,0,998.1,93.5,5.33,90.0,,
51,2023,1,3,1,0,20.3,-149,29.8,13.5,0.0,0.0,0,0.0,0,997.8,91,4.67,90.0,,
52,2023,1,3,2,0,20.5,-137,16.7,13.1,0.0,0.0,0,0.0,0,997.5,82.7,3.95,90.0,,
53,2023,1,3,3,0,20.6,-126,1,13.1,0.0,0.0,0,0.0,0,997.8,70.4,3.37,90.0,,
54,2023,1,3,4,0,20.6,-116,50,13.5,0.0,0.0,0,0.0,0,998.4,64.2,2.98,90.0,,
55,2023,1,3,5,0,20.5,-107,48.1,13.8,27.39,154.14,2,40.90458474073003,0,999,58,2.9,84.97,,
56,2023,1,3,6,0,21.7,-98,23,14,68.94,621.95,88,253.99594011872472,0,999.3,41.8,3.16,72.69,,
57,2023,1,3,7,0,23.6,-88,7.5,14.1,139.89,598.56,383,439.5318162870371,0,999.4,333.7,4.23,59.96,,
58,2023,1,3,8,0,25.6,-76,1,14.2,174.83,318.67,625,392.24375761489136,0,999.4,324,4.94,46.98,,
59,2023,1,3,9,0,26.3,-60,23.7,14,416.47,136.32,252,529.6172747042006,0,999.1,311.4,5.31,33.9,,
60,2023,1,3,10,0,26,-33,21.3,13.6,434.04,345.71,286,756.8745030880852,0,998.6,303.5,5.87,20.96,,
61,2023,1,3,11,0,25.5,6,4.6,13.1,335.37,537.34,671,865.5862983315978,0,998,308.3,6.45,9.34,,
62,2023,1,3,12,0,25.2,42,0.1,13,166.49,680.65,767,836.9842281737074,0,997.5,325.4,6.79,9.91,,
63,2023,1,3,13,0,24.9,65,4.1,13.1,329.56,478.25,591,773.825002731262,0,996.9,331.5,6.89,21.73,,
64,2023,1,3,14,0,24.7,80,55.5,13.3,112.5,613.02,181,616.4907400326626,0,996.3,312.1,6.74,34.7,,
65,2023,1,3,15,0,23.9,91,93.3,13.5,151.27,709.34,0,627.9316817351325,0,996.1,292.2,6.32,47.78,,
66,2023,1,3,16,0,22.8,100,97.8,13.9,106.38,683.6,0,440.40148068731844,0,996.3,285.1,5.58,60.75,,
67,2023,1,3,17,0,21.6,109,85.7,14.2,64.08,583.7,0,230.25043480980668,0,996.5,183.8,4.48,73.46,,
68,2023,1,3,18,0,20.6,118,57.3,14.3,24.77,131.63,0,34.77689898060796,0,997.1,141.3,3.15,85.64,,
69,2023,1,3,19,0,19.7,128,69.2,14.1,0.0,0.0,0,0.0,0,998.1,211,3.61,90.0,,
70,2023,1,3,20,0,18.8,140,83,13.8,0.0,0.0,0,0.0,0,999,348.6,5.39,90.0,,
71,2023,1,3,21,0,18.1,153,82.6,13.5,0.0,0.0,0,0.0,0,999.5,354.5,6.99,90.0,,
72,2023,1,3,22,0,17.6,167,62.2,13,0.0,0.0,0,0.0,0,999.7,320.3,7.25,90.0,,
73,2023,1,3,23,0,17,-178,50.8,12.6,0.0,0.0,0,0.0,0,999.8,249.3,6.69,90.0,,
74,2023,1,4,0,0,16.4,-163,51,12.5,0.0,0.0,0,0.0,0,1000.1,252.8,5.95,90.0,,
75,2023,1,4,1,0,15.7,-149,56.5,12.6,0.0,0.0,0,0.0,0,1000.6,249.4,5.25,90.0,,
76,2023,1,4,2,0,15.1,-137,53.6,12.8,0.0,0.0,0,0.0,0,1001.2,244.2,4.7,90.0,,
77,2023,1,4,3,0,14.7,-126,50.9,12.6,0.0,0.0,0,0.0,0,1002.1,249.5,4.32,90.0,,
78,2023,1,4,4,0,14.5,-116,62.8,12.2,0.0,0.0,3,0.0,0,1003.4,243.4,3.9,90.0,,
79,2023,1,4,5,0,14.3,-107,25,11.8,25.33,222.28,175,44.316473674974056,0,1004.7,231.4,3.28,85.1,,
80,2023,1,4,6,0,14.9,-98,1.9,11.1,77.63,594.77,372,253.30993715123452,0,1005.5,226.1,2.57,72.82,,
81,2023,1,4,7,0,16.1,-88,1,10.3,80.51,812.96,584,485.8835892319297,0,1006.1,220.8,2.56,60.09,,
82,2023,1,4,8,0,17.4,-76,0,9.5,82.46,910.12,775,701.881306381027,0,1006.6,217,3.68,47.11,,
83,2023,1,4,9,0,17.9,-60,0,8.9,86.22,956.7,907,879.0800221594366,0,1007.1,217.4,4.81,34.03,,
84,2023,1,4,10,0,17.9,-34,0,8.4,195.36,846.1,987,984.7851353522854,0,1007.5,215.4,5.26,21.09,,
85,2023,1,4,11,0,17.9,5,0,8,261.9,693.96,1008,946.402633356051,0,1008,220.6,5.7,9.47,,
86,2023,1,4,12,0,18,41,0,7.6,328.13,562.83,971,882.5790820396915,0,1008.2,227.1,6.08,9.9,,
87,2023,1,4,13,0,18.1,65,0,7.4,385.19,406.02,880,762.5149600239761,0,1008.4,224.6,6.33,21.67,,
88,2023,1,4,14,0,18.2,80,0,7.1,227.96,527.93,741,662.3613581228673,0,1008.5,221.5,6.2,34.63,,
89,2023,1,4,15,0,18,90,0,7.2,298.67,72.79,565,347.6491836527449,0,1008.7,214.6,5.55,47.71,,
90,2023,1,4,16,0,17.4,100,0,7.6,216.3,4.34,368,218.42458037707425,0,1009,196.1,4.49,60.69,,
91,2023,1,4,17,0,16.9,109,0,8,81.38,55.53,175,97.23498691691091,0,1009.3,197.7,2.88,73.41,,
92,2023,1,4,18,0,15.8,118,0,8.4,20.42,10.02,39,21.188724661830726,0,1009.7,214.8,0.52,85.6,,
93,2023,1,4,19,0,14.5,128,0,8.8,0.0,0.0,0,0.0,0,1010.2,224.5,3.53,90.0,,
94,2023,1,4,20,0,13,140,0,9.2,0.0,0.0,0,0.0,0,1010.7,212.2,6.97,90.0,,
95,2023,1,4,21,0,12.5,152,1,9.5,0.0,0.0,0,0.0,0,1010.9,198.5,7.07,90.0,,
96,2023,1,4,22,0,12.7,167,51.6,9.6,0.0,0.0,0,0.0,0,1010.8,192.4,6.99,90.0,,
97,2023,1,4,23,0,12.9,-178,61.9,9.8,0.0,0.0,0,0.0,0,1010.7,171.6,6.71,90.0,,
98,2023,1,5,0,0,12.9,-163,51.9,9.9,0.0,0.0,0,0.0,0,1010.6,154.6,4.94,90.0,,
99,2023,1,5,1,0,12.7,-149,52,10,0.0,0.0,0,0.0,0,1010.6,119.3,3.96,90.0,,
100,2023,1,5,2,0,12.5,-137,52,10.2,0.0,0.0,0,0.0,0,1010.6,101.6,4.49,90.0,,
101,2023,1,5,3,0,12.6,-126,51.6,10.3,0.0,0.0,0,0.0,0,1010.8,96,4.54,90.0,,
102,2023,1,5,4,0,13,-116,53.8,10.5,0.0,0.0,0,0.0,0,1011.2,90.5,3.43,90.0,,
103,2023,1,5,5,0,13.4,-107,59.7,10.7,21.93,0.0,0,21.93,0,1011.6,87.6,1.9,85.22,,
104,2023,1,5,6,0,14.4,-98,71.9,10.8,78.88,25.17,2,86.2557981763409,0,1011.9,90.1,1.65,72.96,,
105,2023,1,5,7,0,15.8,-88,44.8,10.8,154.26,42.23,92,175.22801983616196,0,1012.2,106.3,1.95,60.23,,
106,2023,1,5,8,0,17.3,-76,25.4,10.9,206.86,61.29,184,248.463697693714,0,1012.5,66.9,2.43,47.25,,
107,2023,1,5,9,0,18.1,-60,35.2,10.9,264.94,63.23,75,317.2611039371128,0,1012.4,336.7,3.77,34.16,,
108,2023,1,5,10,0,18.4,-34,57.6,10.8,278.92,31.33,0,308.12574810201477,0,1012.2,10.6,5.33,21.22,,
109,2023,1,5,11,0,18.7,5,55.7,10.8,349.83,42.06,0,391.2997684623918,0,1011.9,29.1,6.53,9.61,,
110,2023,1,5,12,0,18.9,41,57.7,10.8,382.16,44.22,0,425.7228606613879,0,1011.8,34.9,7.29,9.89,,
111,2023,1,5,13,0,19.1,64,56.7,10.9,353.19,5.35,2,358.1639603870166,0,1011.6,34.5,7.58,21.61,,
112,2023,1,5,14,0,19.2,79,35.5,11,331.66,43.06,101,367.1170498676787,0,1011.5,41.4,7.59,34.57,,
113,2023,1,5,15,0,19,90,13.3,11.2,224.9,73.97,279,274.7304605909747,0,1011.5,37.9,7.26,47.65,,
114,2023,1,5,16,0,18.4,100,2.4,11.4,155.4,82.0,294,195.61669662845222,0,1011.7,34.5,6.44,60.63,,
115,2023,1,5,17,0,17.9,109,0,11.7,82.56,17.05,153,87.44239252933679,0,1011.9,30.5,5.12,73.36,,
116,2023,1,5,18,0,16.9,118,0,11.8,16.6,41.24,32,19.785421858221955,0,1012.3,24.9,4.34,85.57,,
117,2023,1,5,19,0,15.6,128,0,11.7,0.0,0.0,0,0.0,0,1012.7,344.4,2.64,90.0,,
118,2023,1,5,20,0,14.2,139,0,11.7,0.0,0.0,0,0.0,0,1013.2,349.7,0.27,90.0,,
119,2023,1,5,21,0,13.5,152,0,11.6,0.0,0.0,0,0.0,0,1013.3,33,3.35,90.0,,
120,2023,1,5,22,0,13.2,167,0,11.6,0.0,0.0,0,0.0,0,1013.2,54.6,6.73,90.0,,
121,2023,1,5,23,0,13,-178,0,11.5,0.0,0.0,0,0.0,0,1013,71.9,8.47,90.0,,
122,2023,1,6,0,0,12.8,-163,0,11.5,0.0,0.0,0,0.0,0,1012.9,75.9,8.22,90.0,,
123,2023,1,6,1,0,12.6,-149,0,11.4,0.0,0.0,0,0.0,0,1012.7,66.8,7.71,90.0,,
124,2023,1,6,2,0,12.5,-137,0,11.3,0.0,0.0,0,0.0,0,1012.5,65.2,7.79,90.0,,
125,2023,1,6,3,0,12.9,-126,0.1,11.7,0.0,0.0,1,0.0,0,1012.6,96,7.99,90.0,,
126,2023,1,6,4,0,13.8,-116,3.7,12.4,0.0,0.0,37,0.0,0,1012.9,95,8.2,90.0,,
127,2023,1,6,5,0,14.8,-107,2,13.1,25.01,229.31,176,43.59987445440173,0,1013.2,88.6,8.27,85.35,,
128,2023,1,6,6,0,16.2,-98,0.2,13.4,68.63,657.11,361,259.6533184353478,0,1013.5,99.3,8.64,73.1,,
129,2023,1,6,7,0,17.9,-88,8.2,13.4,84.0,815.86,379,487.4825579732805,0,1013.7,80.3,7.95,60.36,,
130,2023,1,6,8,0,19.6,-76,29.4,13.4,100.63,867.87,138,688.293308048764,0,1014,72.8,5.6,47.38,,
131,2023,1,6,9,0,20.5,-60,14,13.1,195.2,792.05,570,849.5111541553697,0,1013.9,70.1,3.28,34.3,,
132,2023,1,6,10,0,20.6,-34,0,12.6,366.57,495.01,920,827.577921997824,0,1013.6,63.2,1.59,21.36,,
133,2023,1,6,11,0,20.7,5,0,12.1,470.69,451.76,943,915.9248052400771,0,1013.4,57.4,0.64,9.75,,
134,2023,1,6,12,0,20.7,41,0,11.9,421.75,351.55,910,768.0757273973525,0,1013,57.8,0.66,9.89,,
135,2023,1,6,13,0,20.8,64,0,12.1,134.6,835.87,821,911.9868999550557,0,1012.7,55.5,0.57,21.56,,
136,2023,1,6,14,0,20.8,79,0,12.3,233.99,503.11,684,648.6161267576224,0,1012.3,55.1,0.45,34.5,,
137,2023,1,6,15,0,20.4,90,0,12.7,219.27,305.42,513,425.25479606556854,0,1012.1,59.5,1.69,47.59,,
138,2023,1,6,16,0,19.8,100,0,13.1,116.37,507.78,325,365.87270604821344,0,1012.2,68.3,3.35,60.57,,
139,2023,1,6,17,0,19,109,0,13.5,81.0,282.13,147,161.978690302376,0,1012.2,78.5,5.67,73.32,,
140,2023,1,6,18,0,18.2,118,0,13.8,22.55,135.55,31,33.09078780792271,0,1012.2,86.2,7.96,85.54,,
