Unnamed: 0,country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
0,Australia,MERRA-2,Point 5,9,-28.0,150.625,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
1,Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
47,2023,1,2,21,0,19.5,153,57.1,14.1,0.0,0.0,0,0.0,0,999.9,97.6,7.05,90.0,,
48,2023,1,2,22,0,19.7,167,18.1,14.1,0.0,0.0,0,0.0,0,999.2,101.2,9.07,90.0,,
49,2023,1,2,23,0,19.8,-178,0,14.1,0.0,0.0,0,0.0,0,998.5,104.1,11.1,90.0,,
50,2023,1,3,0,0,20,-163,0.6,13.9,0.0,0.0,0,0.0,0,998.1,93.5,11.36,90.0,,
51,2023,1,3,1,0,20.3,-149,29.8,13.5,0.0,0.0,0,0.0,0,997.8,91,10.16,90.0,,
52,2023,1,3,2,0,20.5,-137,16.7,13.1,0.0,0.0,0,0.0,0,997.5,82.7,9.27,90.0,,
53,2023,1,3,3,0,20.6,-126,1,13.1,0.0,0.0,0,0.0,0,997.8,70.4,8.62,90.0,,
54,2023,1,3,4,0,20.6,-116,50,13.5,0.0,0.0,0,0.0,0,998.4,64.2,7.98,90.0,,
55,2023,1,3,5,0,20.5,-107,48.1,13.8,24.37,114.84,2,32.360838786355316,0,999,58,7.94,86.01,,
56,2023,1,3,6,0,21.7,-98,23,14,88.43,389.03,88,196.77028748461788,0,999.3,41.8,8.69,73.83,,
57,2023,1,3,7,0,23.6,-88,7.5,14.1,125.37,459.72,383,348.10631258698663,0,999.4,333.7,7.89,61.02,,
58,2023,1,3,8,0,25.6,-76,1,14.2,274.77,436.39,625,566.9416688652157,0,999.4,324,6.67,47.97,,
59,2023,1,3,9,0,26.3,-60,23.7,14,315.08,342.15,252,596.1043467523332,0,999.1,311.4,5.35,34.78,,
60,2023,1,3,10,0,26,-33,21.3,13.6,440.44,300.44,286,719.6660749163826,0,998.6,303.5,4.63,21.66,,
61,2023,1,3,11,0,25.5,6,4.6,13.1,300.36,542.79,671,835.7527954915714,0,998,308.3,4.98,9.47,,
62,2023,1,3,12,0,25.2,42,0.1,13,387.64,373.35,767,756.6546769567774,0,997.5,325.4,5.64,8.74,,
63,2023,1,3,13,0,24.9,65,4.1,13.1,287.33,415.62,591,676.067942720108,0,996.9,331.5,6.3,20.72,,
64,2023,1,3,14,0,24.7,80,55.5,13.3,301.12,373.43,181,611.3257167430122,0,996.3,312.1,6.92,33.83,,
65,2023,1,3,15,0,23.9,91,93.3,13.5,178.07,558.38,0,558.7416719278306,0,996.1,292.2,7.28,47.02,,
