PV_capex,Wind_capex,EL_CAPEX,UG_capex,PV_FOM,Wind_FOM,EL_FOM
842.05,1091.59,835.00,0.75,9.51,13.99,29.23
842.05,1091.59,835.00,1.00,9.51,13.99,29.23
842.05,1091.59,835.00,1.25,9.51,13.99,29.23
842.05,1091.59,1067.50,0.75,9.51,13.99,37.36
842.05,1091.59,1067.50,1.00,9.51,13.99,37.36
842.05,1091.59,1067.50,1.25,9.51,13.99,37.36
842.05,1091.59,1300.00,0.75,9.51,13.99,45.50
842.05,1091.59,1300.00,1.00,9.51,13.99,45.50
842.05,1091.59,1300.00,1.25,9.51,13.99,45.50
842.05,1455.45,835.00,0.75,9.51,18.65,29.23
842.05,1455.45,835.00,1.00,9.51,18.65,29.23
842.05,1455.45,835.00,1.25,9.51,18.65,29.23
842.05,1455.45,1067.50,0.75,9.51,18.65,37.36
842.05,1455.45,1067.50,1.00,9.51,18.65,37.36
842.05,1455.45,1067.50,1.25,9.51,18.65,37.36
842.05,1455.45,1300.00,0.75,9.51,18.65,45.50
842.05,1455.45,1300.00,1.00,9.51,18.65,45.50
842.05,1455.45,1300.00,1.25,9.51,18.65,45.50
842.05,1819.31,835.00,0.75,9.51,23.31,29.23
842.05,1819.31,835.00,1.00,9.51,23.31,29.23
842.05,1819.31,835.00,1.25,9.51,23.31,29.23
842.05,1819.31,1067.50,0.75,9.51,23.31,37.36
842.05,1819.31,1067.50,1.00,9.51,23.31,37.36
842.05,1819.31,1067.50,1.25,9.51,23.31,37.36
842.05,1819.31,1300.00,0.75,9.51,23.31,45.50
842.05,1819.31,1300.00,1.00,9.51,23.31,45.50
842.05,1819.31,1300.00,1.25,9.51,23.31,45.50
1122.73,1091.59,835.00,0.75,12.68,13.99,29.23
1122.73,1091.59,835.00,1.00,12.68,13.99,29.23
1122.73,1091.59,835.00,1.25,12.68,13.99,29.23
1122.73,1091.59,1067.50,0.75,12.68,13.99,37.36
1122.73,1091.59,1067.50,1.00,12.68,13.99,37.36
1122.73,1091.59,1067.50,1.25,12.68,13.99,37.36
1122.73,1091.59,1300.00,0.75,12.68,13.99,45.50
1122.73,1091.59,1300.00,1.00,12.68,13.99,45.50
1122.73,1091.59,1300.00,1.25,12.68,13.99,45.50
1122.73,1455.45,835.00,0.75,12.68,18.65,29.23
1122.73,1455.45,835.00,1.00,12.68,18.65,29.23
1122.73,1455.45,835.00,1.25,12.68,18.65,29.23
1122.73,1455.45,1067.50,0.75,12.68,18.65,37.36
1122.73,1455.45,1067.50,1.00,12.68,18.65,37.36
1122.73,1455.45,1067.50,1.25,12.68,18.65,37.36
1122.73,1455.45,1300.00,0.75,12.68,18.65,45.50
1122.73,1455.45,1300.00,1.00,12.68,18.65,45.50
1122.73,1455.45,1300.00,1.25,12.68,18.65,45.50
1122.73,1819.31,835.00,0.75,12.68,23.31,29.23
1122.73,1819.31,835.00,1.00,12.68,23.31,29.23
1122.73,1819.31,835.00,1.25,12.68,23.31,29.23
1122.73,1819.31,1067.50,0.75,12.68,23.31,37.36
1122.73,1819.31,1067.50,1.00,12.68,23.31,37.36
1122.73,1819.31,1067.50,1.25,12.68,23.31,37.36
1122.73,1819.31,1300.00,0.75,12.68,23.31,45.50
1122.73,1819.31,1300.00,1.00,12.68,23.31,45.50
1122.73,1819.31,1300.00,1.25,12.68,23.31,45.50
1403.41,1091.59,835.00,0.75,15.85,13.99,29.23
1403.41,1091.59,835.00,1.00,15.85,13.99,29.23
1403.41,1091.59,835.00,1.25,15.85,13.99,29.23
1403.41,1091.59,1067.50,0.75,15.85,13.99,37.36
1403.41,1091.59,1067.50,1.00,15.85,13.99,37.36
1403.41,1091.59,1067.50,1.25,15.85,13.99,37.36
1403.41,1091.59,1300.00,0.75,15.85,13.99,45.50
1403.41,1091.59,1300.00,1.00,15.85,13.99,45.50
1403.41,1091.59,1300.00,1.25,15.85,13.99,45.50
1403.41,1455.45,835.00,0.75,15.85,18.65,29.23
1403.41,1455.45,835.00,1.00,15.85,18.65,29.23
1403.41,1455.45,835.00,1.25,15.85,18.65,29.23
1403.41,1455.45,1067.50,0.75,15.85,18.65,37.36
1403.41,1455.45,1067.50,1.00,15.85,18.65,37.36
1403.41,1455.45,1067.50,1.25,15.85,18.65,37.36
1403.41,1455.45,1300.00,0.75,15.85,18.65,45.50
1403.41,1455.45,1300.00,1.00,15.85,18.65,45.50
1403.41,1455.45,1300.00,1.25,15.85,18.65,45.50
1403.41,1819.31,835.00,0.75,15.85,23.31,29.23
1403.41,1819.31,835.00,1.00,15.85,23.31,29.23
1403.41,1819.31,835.00,1.25,15.85,23.31,29.23
1403.41,1819.31,1067.50,0.75,15.85,23.31,37.36
1403.41,1819.31,1067.50,1.00,15.85,23.31,37.36
1403.41,1819.31,1067.50,1.25,15.85,23.31,37.36
1403.41,1819.31,1300.00,0.75,15.85,23.31,45.50
1403.41,1819.31,1300.00,1.00,15.85,23.31,45.50
1403.41,1819.31,1300.00,1.25,15.85,23.31,45.50
