PV_capex,Wind_capex,EL_CAPEX,UG_capex,PV_FOM,Wind_FOM,EL_FOM
396.87,992.55,200.00,0.75,9.51,13.99,7.00
396.87,992.55,200.00,1.00,9.51,13.99,7.00
396.87,992.55,200.00,1.25,9.51,13.99,7.00
396.87,992.55,295.00,0.75,9.51,13.99,10.32
396.87,992.55,295.00,1.00,9.51,13.99,10.32
396.87,992.55,295.00,1.25,9.51,13.99,10.32
396.87,992.55,390.00,0.75,9.51,13.99,13.65
396.87,992.55,390.00,1.00,9.51,13.99,13.65
396.87,992.55,390.00,1.25,9.51,13.99,13.65
396.87,1323.40,200.00,0.75,9.51,18.65,7.00
396.87,1323.40,200.00,1.00,9.51,18.65,7.00
396.87,1323.40,200.00,1.25,9.51,18.65,7.00
396.87,1323.40,295.00,0.75,9.51,18.65,10.32
396.87,1323.40,295.00,1.00,9.51,18.65,10.32
396.87,1323.40,295.00,1.25,9.51,18.65,10.32
396.87,1323.40,390.00,0.75,9.51,18.65,13.65
396.87,1323.40,390.00,1.00,9.51,18.65,13.65
396.87,1323.40,390.00,1.25,9.51,18.65,13.65
396.87,1654.26,200.00,0.75,9.51,23.31,7.00
396.87,1654.26,200.00,1.00,9.51,23.31,7.00
396.87,1654.26,200.00,1.25,9.51,23.31,7.00
396.87,1654.26,295.00,0.75,9.51,23.31,10.32
396.87,1654.26,295.00,1.00,9.51,23.31,10.32
396.87,1654.26,295.00,1.25,9.51,23.31,10.32
396.87,1654.26,390.00,0.75,9.51,23.31,13.65
396.87,1654.26,390.00,1.00,9.51,23.31,13.65
396.87,1654.26,390.00,1.25,9.51,23.31,13.65
465.50,992.55,200.00,0.75,12.68,13.99,7.00
465.50,992.55,200.00,1.00,12.68,13.99,7.00
465.50,992.55,200.00,1.25,12.68,13.99,7.00
465.50,992.55,295.00,0.75,12.68,13.99,10.32
465.50,992.55,295.00,1.00,12.68,13.99,10.32
465.50,992.55,295.00,1.25,12.68,13.99,10.32
465.50,992.55,390.00,0.75,12.68,13.99,13.65
465.50,992.55,390.00,1.00,12.68,13.99,13.65
465.50,992.55,390.00,1.25,12.68,13.99,13.65
465.50,1323.40,200.00,0.75,12.68,18.65,7.00
465.50,1323.40,200.00,1.00,12.68,18.65,7.00
465.50,1323.40,200.00,1.25,12.68,18.65,7.00
465.50,1323.40,295.00,0.75,12.68,18.65,10.32
465.50,1323.40,295.00,1.00,12.68,18.65,10.32
465.50,1323.40,295.00,1.25,12.68,18.65,10.32
465.50,1323.40,390.00,0.75,12.68,18.65,13.65
465.50,1323.40,390.00,1.00,12.68,18.65,13.65
465.50,1323.40,390.00,1.25,12.68,18.65,13.65
465.50,1654.26,200.00,0.75,12.68,23.31,7.00
465.50,1654.26,200.00,1.00,12.68,23.31,7.00
465.50,1654.26,200.00,1.25,12.68,23.31,7.00
465.50,1654.26,295.00,0.75,12.68,23.31,10.32
465.50,1654.26,295.00,1.00,12.68,23.31,10.32
465.50,1654.26,295.00,1.25,12.68,23.31,10.32
465.50,1654.26,390.00,0.75,12.68,23.31,13.65
465.50,1654.26,390.00,1.00,12.68,23.31,13.65
465.50,1654.26,390.00,1.25,12.68,23.31,13.65
728.84,992.55,200.00,0.75,15.85,13.99,7.00
728.84,992.55,200.00,1.00,15.85,13.99,7.00
728.84,992.55,200.00,1.25,15.85,13.99,7.00
728.84,992.55,295.00,0.75,15.85,13.99,10.32
728.84,992.55,295.00,1.00,15.85,13.99,10.32
728.84,992.55,295.00,1.25,15.85,13.99,10.32
728.84,992.55,390.00,0.75,15.85,13.99,13.65
728.84,992.55,390.00,1.00,15.85,13.99,13.65
728.84,992.55,390.00,1.25,15.85,13.99,13.65
728.84,1323.40,200.00,0.75,15.85,18.65,7.00
728.84,1323.40,200.00,1.00,15.85,18.65,7.00
728.84,1323.40,200.00,1.25,15.85,18.65,7.00
728.84,1323.40,295.00,0.75,15.85,18.65,10.32
728.84,1323.40,295.00,1.00,15.85,18.65,10.32
728.84,1323.40,295.00,1.25,15.85,18.65,10.32
728.84,1323.40,390.00,0.75,15.85,18.65,13.65
728.84,1323.40,390.00,1.00,15.85,18.65,13.65
728.84,1323.40,390.00,1.25,15.85,18.65,13.65
728.84,1654.26,200.00,0.75,15.85,23.31,7.00
728.84,1654.26,200.00,1.00,15.85,23.31,7.00
728.84,1654.26,200.00,1.25,15.85,23.31,7.00
728.84,1654.26,295.00,0.75,15.85,23.31,10.32
728.84,1654.26,295.00,1.00,15.85,23.31,10.32
728.84,1654.26,295.00,1.25,15.85,23.31,10.32
728.84,1654.26,390.00,0.75,15.85,23.31,13.65
728.84,1654.26,390.00,1.00,15.85,23.31,13.65
728.84,1654.26,390.00,1.25,15.85,23.31,13.65
