cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,2486273190.10995,104833.9128488705,1005652.521431359,876078.2303572525,0.0,0.0,0.0,0.0,88272775.4665702,1463224418.6826274,934775471.7911885,0.0,0.0,0.0,5.0
60,2984587990.650197,251077.7873592898,1162989.369614176,1013142.857142856,-0.0,0.0,0.0,0.0,211413773.90120602,1692149532.788626,1081023428.5714273,-0.0,0.0,0.0,5.0
70,3509215400.401379,455636.2667488729,1303493.505363661,1134671.218558131,139703.1045947192,0.0,-5.79221714363777e-11,0.0,383657127.5092197,1896583050.304127,1210694190.2015257,18278526.113129567,0.0,0.0,5.0
80,4026479200.032887,493667.2109525947,1501328.277482793,1305787.432030093,449636.6990202347,0.0,2.821078634909216e-11,-3.397618264983611e-12,415680133.3023586,2184432643.737464,1393275189.9761093,33088711.705716852,0.0,-6.659331799367878e-10,5.0
90,4568771811.087825,222704.4595289821,1804758.32509712,1568237.759872938,1603733.324792774,0.0,0.0,0.0,187522722.53489116,2625923363.0163093,1673309689.7844248,82011949.85365297,0.0,0.0,5.0
100,5321124660.422378,32012.52699620648,2079901.533556504,1806221.525263509,8092020.273987782,0.0,0.0,0.0,26955348.043980766,3026256731.324713,1927238367.4561641,340634735.32970864,0.0,0.0,5.0
