cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,2789079762.07388,-0.0,1169280.932297842,1018623.777226707,0.0,1752.781549657809,5.929000553928695e-12,0.0,-0.0,1701303756.4933603,1086871570.3008964,0.0,904435.2796234294,0.0,5.0
60,3382697702.088895,-0.0,1410580.144324656,1227295.280426335,222074.6807910781,0.0,0.0,0.0,-0.0,2052394109.9923747,1309524064.2148995,20778605.685600188,0.0,0.0,5.0
70,3969624183.555521,-0.0,1650661.873500826,1434952.791693811,604739.3047720672,0.0,0.0,0.0,-0.0,2401713025.9437017,1531094628.7372963,36814937.401262216,0.0,0.0,5.0
80,4574474594.26968,-0.0,1896766.99303024,1647820.204832785,1111527.08907461,0.0,0.0,0.0,-0.0,2759795974.8589993,1758224158.5565817,56459413.72876561,0.0,0.0,5.0
90,5205107229.52722,-0.0,2136234.574935056,1854946.512437413,2601326.42551391,0.0,0.0,0.0,-0.0,3108221306.530506,1979227928.7707198,117646793.57824814,0.0,0.0,5.0
100,5994886021.527657,-0.0,2344203.562395568,2034828.265643119,9951990.330221672,0.0,-3.539085339566501e-10,-3.73570119176464e-11,-0.0,3410816183.2855515,2171161759.441208,412878195.3461231,0.0,-7.321974335858694e-09,5.0
