cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,2615999574.820027,0.0,1097075.349724604,955721.5941618824,0.0,0.0,0.0,0.0,0.0,1596244633.849299,1019754940.9707285,0.0,0.0,0.0,5.0
60,3159023067.088127,-0.0,1318184.511654065,1147378.13221936,128513.4960511134,0.0,0.0,0.0,-0.0,1917958464.4566646,1224252467.078057,16812504.333768845,0.0,0.0,5.0
70,3704182865.286539,0.0,1538259.300162109,1337730.738521867,572440.182849664,0.0,-2.264020909482375e-10,0.0,0.0,2238167281.735869,1427358698.002832,38655203.62075784,0.0,0.0,5.0
80,4283424129.47999,-0.0,1773933.323807231,1541575.826561144,1076183.758886704,0.0,0.0,0.0,-0.0,2581072986.139521,1644861406.9407408,57490732.71500929,0.0,0.0,5.0
90,4866859997.365376,0.0,1987127.379908192,1725976.977197886,3081946.743243915,0.0,-1.486166799465917e-10,-3.383880105412596e-11,0.0,2891270337.7664194,1841617434.6701443,133970372.27558824,0.0,-6.632405006608688e-09,5.0
100,5509805191.570333,-0.0,2199848.269203391,1909968.864532351,6535419.031421877,0.0,3.984932901493978e-11,-2.699241537554777e-11,-0.0,3200779231.6909337,2037936778.4560184,271089181.4233795,0.0,-5.290513413607363e-09,5.0
