cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,2720165088.382403,-0.0,1140759.384814154,993777.1166614892,0.0,0.0,0.0,0.0,-0.0,1659804904.904594,1060360183.4778091,0.0,0.0,0.0,5.0
60,3304869743.505609,0.0,1374733.012129086,1196289.479679432,357861.5897415022,0.0,0.0,0.0,0.0,2000236532.6478202,1276440874.8179538,28193981.02852481,0.0,0.0,5.0
70,3881697180.826633,0.0,1600852.029723478,1391870.012213179,1308182.913299195,0.0,0.0,0.0,0.0,2329239703.2476606,1485125303.031462,67328022.33253993,0.0,0.0,5.0
80,4470213759.560406,-0.0,1836779.208146781,1595934.065233186,2108456.293975782,0.0,0.0,0.0,-0.0,2672513747.853566,1702861647.6038094,94842300.92085813,0.0,0.0,5.0
90,5112380749.769312,-0.0,2057742.29816102,1787055.003556062,5025606.108092847,0.0,0.0,-2.615440014031322e-11,-0.0,2994015043.824284,1906787688.7943182,211569425.8983541,0.0,-5.126262427501391e-09,5.0
100,5885030543.357555,-0.0,2287256.645891057,1985572.310197189,10570551.31643363,0.0,0.0,0.0,-0.0,3327958419.7714877,2118605654.9804006,438466468.605667,0.0,0.0,5.0
