cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,2757501115.885674,0.0,1156417.046162702,1007417.351189262,0.0,0.0,0.0,0.0,0.0,1682586802.1667314,1074914313.7189426,0.0,0.0,0.0,5.0
60,3364838200.021399,-0.0,1392641.90776523,1211779.690909216,661950.5304699687,0.0,0.0,0.0,-0.0,2026293975.7984095,1292968930.2001333,45572389.3999793,0.0,0.0,5.0
70,3966419512.379715,-0.0,1621261.003104854,1409522.653396843,2099879.953097775,-0.0,0.0,0.0,-0.0,2358934759.5175624,1503960671.1744316,103530236.3846556,-0.0,0.0,5.0
80,4627785064.386332,-0.0,1853205.403688976,1610141.822306537,4926111.235691433,0.0,0.0,0.0,-0.0,2696413862.3674603,1718021324.4010751,213361389.4041279,0.0,0.0,5.0
90,5337388556.744576,0.0,2085735.231859278,1811267.353928589,8918330.386780487,0.0,0.0,0.0,0.0,3034744762.3552494,1932622266.6418045,370022323.02981395,0.0,0.0,5.0
100,6153959620.981781,-0.0,2318327.064981358,2012446.516428829,15272741.28265053,0.0,0.0,2.786657882846367e-10,-0.0,3373165879.547876,2147280433.0295606,633513308.404344,0.0,5.461849450378879e-08,5.0
