cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,2616537347.79899,0.0,1097300.876320497,955918.0625610744,0.0,0.0,0.0,0.0,0.0,1596572775.046323,1019964572.7526664,0.0,0.0,0.0,5.0
60,3159684057.395917,-0.0,1318462.843482518,1147618.873965936,128644.6403979166,0.0,-0.0,0.0,-0.0,1918363437.2670639,1224509338.5216537,16810653.732631203,0.0,0.0,5.0
70,3704947297.497501,0.0,1538588.331426299,1338015.332496116,572513.194530753,0.0,0.0,0.0,0.0,2238646022.225265,1427662359.7733557,38639195.869295515,0.0,0.0,5.0
80,4284335399.551951,0.0,1774314.642389179,1541905.646193814,1076268.633225328,0.0,0.0,0.0,0.0,2581627804.676255,1645213324.4887996,57498446.82624825,0.0,0.0,5.0
90,4867878480.628255,0.0,1987557.611109006,1726349.10355976,3081841.798168576,0.0,0.0,0.0,0.0,2891896324.163604,1842014493.4982638,133954521.38178514,0.0,0.0,5.0
100,5510833707.470593,-0.0,2200301.585902802,1910360.958582734,6534227.511432953,0.0,0.0,0.0,-0.0,3201438807.4885774,2038355142.8077772,271039757.17423886,0.0,0.0,5.0
