cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,2487491499.099669,-0.0,1043182.740769173,908772.8315656247,0.0,0.0,0.0,0.0,-0.0,1517830887.8191466,969660611.2805215,0.0,0.0,0.0,5.0
60,3012746034.967342,0.0,1256957.265442514,1095003.36674563,0.0,30047.715951351,7.757147670053887e-11,0.0,0.0,1828872821.218858,1168368592.3175874,0.0,15504621.430897117,0.0,5.0
70,3513645363.066623,-0.0,1462295.851432746,1272026.527024544,358824.3466465695,0.0,4.21815423863551e-12,0.0,-0.0,2127640463.8346455,1357252304.3351886,28751975.214344323,0.0,0.0,5.0
80,4034860762.030473,-0.0,1677495.819682751,1458162.681512353,664895.0489984194,0.0,0.0,0.0,-0.0,2440756417.638403,1555859581.1736805,38245327.41404592,0.0,0.0,5.0
90,4567510111.429741,-0.0,1882454.854326651,1635440.990828035,1723184.674457388,-0.0,0.0,0.0,-0.0,2738971813.045277,1745015537.2135134,83524940.518146,-0.0,0.0,5.0
100,5321076168.014538,-0.0,2091548.388916439,1816295.41554427,8075221.044318932,0.0,0.0,0.0,-0.0,3043202905.873419,1937987208.3857362,339866760.6633902,0.0,0.0,5.0
