cf,capex[USD],lcoh[USD/kg],fom[USD],hy[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,3415014152.516109,1.113096870365915,95248137.8698417,3153600000.0,0.0,1418705.77657425,1235247.570933069,31801.34402960161,30136.60638989519,-5.330731671064523e-13,-4.544690051386274e-13,0.0,2064216904.9155338,1318009158.1855848,17237554.029197674,15550488.897185918,-8.907592500717097e-11,5.0
60,3831926299.529656,1.24837261631935,104941583.2950472,3153600000.0,0.0,1562406.701737687,1361096.869131082,25273.46849511749,179678.4190538729,-3.246741114786357e-08,-9.3517273518727e-08,0.0,2273301751.0283346,1452290359.3628645,13620229.293771751,92714064.23179841,-1.8329385609670493e-05,5.0
70,4217645324.207022,1.374114110421445,115760934.4180471,3153600000.0,0.0,1724369.41571381,1501246.517905844,154109.3768536343,180878.1992736794,0.0,0.0,0.0,2508957499.8635936,1601830034.6055355,13523930.41447809,93333150.82521857,0.0,5.0
80,4596099800.760448,1.498203465237632,128634647.2129464,3153600000.0,0.0,1919534.622794972,1667512.954258687,322011.4557598652,129.2113754033272,0.0,0.0,0.0,2792922876.166684,1779236322.194019,23874000.416825894,66673.06970811683,0.0,5.0
90,5018848133.120691,1.635758024040638,139678371.4938661,3153600000.0,-5.98875397547366e-08,2084914.307127533,1810557.299117628,1068365.136604904,4087.048312383593,0.0,-7.301942169054298e-13,-6.72357408826428e-05,3033550316.8705606,1931864638.158509,51323172.34941704,2108916.929189934,-1.4311806651346425e-10,5.0
100,6918865410.809221,2.254857536639655,192053316.7375941,3153600000.0,-1.297049377737254e-09,2869228.700623276,2488946.177619348,1774928.905269329,17999.99999286999,-3.603364847986682e-08,5.907100318326017e-07,-1.4561973363856151e-06,4174727759.406867,2655705571.519844,79136249.72214739,9287999.996320914,0.00011577916623918994,5.0
