cf,capex[USD],lcoh[USD/kg],fom[USD],hy[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,3675747687.136987,1.197995503960582,102250934.1531039,3153600000.0,0.0,1524561.694546996,1325751.869333226,47762.27254872391,32988.65142417129,0.0,0.0,0.0,2218237265.565879,1414577244.5785522,25910874.395186983,17022144.134872384,0.0,5.0
60,4213234494.412442,1.373386560101709,117877361.5243059,3153600000.0,0.0,1758712.700027948,1528124.52786313,120777.3954676557,20751.12935481997,-5.99806338467023e-08,7.122136206795902e-09,0.0,2558926978.540664,1630508871.2299597,13091122.471533947,10707582.747087104,1.3959386965319969e-06,5.0
70,4984807101.964732,1.624677124143755,138774676.7350121,3153600000.0,0.0,2073425.460976475,1798439.385087994,174192.7387824704,62549.73856974303,-9.74679434480896e-13,1.156960890120896e-07,0.0,3016834045.720771,1918934823.8888896,16761936.025244081,32275665.101987403,2.2676433446369564e-05,5.0
80,5259143615.608623,1.714200631837288,146759496.9534485,3153600000.0,0.0,2193430.697200354,1901775.771156138,474694.3214782443,0.0,-5.441642439256122e-12,4.748702184323626e-07,0.0,3191441664.4265156,2029194747.8235993,38506956.338252805,0.0,9.307456281274306e-05,5.0
90,5876100562.692472,1.91504447069875,163183680.1031054,3153600000.0,34142.07796157891,2432566.927126529,2111192.071740445,855318.4788491691,0.0,-1.829298709259665e-08,1.737604450633674e-09,38331310.92746464,3539384878.9691,2252641940.5470552,45739233.43290865,0.0,3.405704723242001e-07,5.0
100,7674423727.659266,2.491362317365437,182336476.3843747,3153600000.0,226849.2463806302,2675556.346673805,2341619.071258112,322552.577255241,1958413.809936123,0.0,0.0,254683648.91153353,3892934484.410386,2498507549.0324054,17755115.131590106,1010541525.9270395,0.0,5.0
