cf,capex[USD],lcoh[USD/kg],fom[USD],hy[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,3667741385.060091,1.195218070249986,101498321.2802643,3153600000.0,0.0,1512228.6249273,1316218.220801392,39035.6706946469,81503.07196394124,-1.025978352085154e-12,-5.571247590931937e-13,0.0,2200292649.2692213,1404404841.5950854,20988328.022606544,42055585.13339368,-1.0919645278226597e-10,5.0
60,3911792041.172018,1.275147683871766,109513694.6859852,3153600000.0,0.0,1633198.508944034,1419847.940380637,185766.309866795,-1.441327285822475e-07,0.0,-2.338639340316129e-08,0.0,2376303830.51357,1514977752.3861399,20510474.59013726,-7.437248794843971e-05,-4.583733107019613e-06,5.0
70,5040727139.339378,1.642723646524493,139766152.3402623,3153600000.0,0.0,2087706.062138587,1811395.967025851,158958.2100943232,110963.4992236067,0.0,0.0,0.0,3037612320.411644,1932759496.816583,13098683.559220446,57257165.59938106,0.0,5.0
80,5013028382.406726,1.634061688693795,140148559.0580266,3153600000.0,0.0,2091955.362206023,1816647.42509018,475001.6154067833,129.211369416395,-4.397090622307192e-08,-6.438235471660664e-14,0.0,3043795052.0097632,1938362802.571222,30804710.63670086,66673.06661885983,-1.2618941524454902e-11,5.0
90,6132590262.380599,1.993842175838887,155190423.344916,3153600000.0,567781.8486752107,2244023.180156671,1948177.736576047,1449322.20751115,107801.3383094322,1.062140314020244e-06,5.087537171553154e-07,637448681.5076591,3265053727.1279564,2078705644.9266422,95752631.07648805,55625490.567667015,9.971572856244181e-05,5.0
100,6981990882.141788,2.275232802352668,193183283.3575868,3153600000.0,-2.291408541463503e-08,2886149.941879062,2503582.122048782,2433907.666067878,129.2113677170854,-1.006910668312987e-07,1.059905966645249e-07,-2.5725643695010748e-05,4199348165.4340353,2671322124.2260504,111258101.26354383,66673.06574201607,2.077415694624688e-05,5.0
