cf,capex[USD],lcoh[USD/kg],fom[USD],hy[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50,3818783092.425058,1.244100727942758,104612963.215223,3153600000.0,0.0,1559502.356665606,1356433.136698503,92362.82021928961,102393.0461287538,1.010702599021812e-12,-3.200558230235737e-13,0.0,2269075928.948457,1447314156.8573027,49557830.31308058,52834811.80243696,-6.273094131262045e-11,5.0
60,4146485314.508903,1.351130075857137,114438492.714164,3153600000.0,0.0,1705414.993958165,1483946.054937406,300334.4013021758,130354.5404705589,0.0,0.0,0.0,2481378816.20913,1583370440.6182122,14473178.24808806,67262942.88280839,0.0,5.0
70,4945457081.981329,1.611989667076289,138113532.1104549,3153600000.0,0.0,2061480.849493842,1790288.645323566,581421.2896413726,1568.630764280468,-3.338693808604462e-07,-1.029166666668134e-12,0.0,2999454636.0135403,1910237984.5602448,34954131.166235186,809413.4743687215,-2.0171666666695428e-10,5.0
80,5339902225.759272,1.740537490184027,149056803.2850749,3153600000.0,0.0,2225356.249510989,1932031.866686859,864013.6637370009,0.0,-1.068608905042677e-12,-1.014359519428696e-12,0.0,3237893343.038489,2061478001.7548785,40531078.44866306,0.0,-1.9881446580802442e-10,5.0
90,8112821085.018653,2.63239966542923,188714499.8789672,3153600000.0,1028279.133992026,2782378.431160717,2311737.034478341,2244876.094752145,23071.47015005709,222871.1288379087,697348.0602993724,1154448983.7328477,4048360617.338843,2466623415.78839,105372451.20663698,11904878.59742946,136680219.818677,5.0
100,7972819111.589919,2.598002425979022,220241338.9775224,3153600000.0,-3.222968530335705e-10,3291344.11218306,2854052.827479033,3153754.809891897,0.0,2.271628124916e-07,1.349174686474701e-06,-3.618426769007896e-07,4788905683.226353,3045274366.920128,138643192.17277798,0.0,0.0002644382385490414,5.0
