electricity,irradiance_direct,irradiance_diffuse,temperature
0.769,0.706,0.298,22.924
0.719,0.548,0.383,23.856
0.644,0.364,0.453,24.154
0.547,0.223,0.455,23.945
0.372,0.081,0.366,23.053
0.34500000000000003,0.106,0.306,22.114
0.264,0.098,0.217,21.174
0.17200000000000001,0.081,0.127,20.072
0.063,0.042,0.044,18.61
0.0,0.001,0.001,16.941
0.0,0.0,0.0,16.003
0.0,0.0,0.0,15.718
0.0,0.0,0.0,15.588
0.0,0.0,0.0,15.445
0.0,0.0,0.0,15.297
0.0,0.0,0.0,15.106
0.0,0.0,0.0,14.91
0.0,0.0,0.0,14.743
0.0,0.001,0.0,14.535
0.08,0.064,0.04,15.255
0.253,0.168,0.127,16.739
0.584,0.518,0.192,18.875
0.651,0.559,0.254,20.975
0.749,0.705,0.266,22.774
0.773,0.753,0.264,23.963
0.76,0.7000000000000001,0.301,24.806
0.74,0.652,0.322,25.448
0.664,0.486,0.368,25.506
0.514,0.258,0.379,24.873
0.41400000000000003,0.195,0.308,24.07
0.383,0.23900000000000002,0.222,23.291
0.23700000000000002,0.152,0.132,22.113
0.135,0.116,0.051000000000000004,20.46
0.0,0.004,0.001,18.073
0.0,0.0,0.0,17.12
0.0,0.0,0.0,16.553
0.0,0.0,0.0,15.954
0.0,0.0,0.0,15.465
0.0,0.0,0.0,15.147
0.0,0.0,0.0,14.884
0.0,0.0,0.0,14.445
0.0,0.0,0.0,14.11
0.0,0.002,0.001,13.901
0.25,0.244,0.046,15.255
0.552,0.551,0.111,17.659
0.6960000000000001,0.726,0.154,21.119
0.763,0.8230000000000001,0.182,24.638
0.791,0.864,0.203,26.704
0.798,0.848,0.24,27.966
0.781,0.786,0.277,28.658
0.738,0.661,0.331,28.886
0.66,0.482,0.382,28.645
0.461,0.181,0.394,27.732
0.262,0.054,0.266,26.532
0.14100000000000001,0.024,0.154,25.355
0.108,0.036000000000000004,0.10300000000000001,24.136
0.124,0.105,0.052000000000000005,22.584
0.0,0.003,0.001,19.915
0.0,0.0,0.0,18.768
0.0,0.0,0.0,17.841
0.0,0.0,0.0,17.107
0.0,0.0,0.0,16.573
0.0,0.0,0.0,16.172
0.0,0.0,0.0,15.758
0.0,0.0,0.0,15.484
0.0,0.0,0.0,15.03
0.0,0.002,0.001,14.732
0.182,0.17,0.046,16.057
0.352,0.28600000000000003,0.127,18.378
0.518,0.425,0.201,20.612
0.5680000000000001,0.42,0.279,22.132
0.649,0.495,0.327,23.369
0.684,0.5,0.379,24.382
0.683,0.461,0.42,25.057
0.66,0.404,0.443,25.361
0.609,0.333,0.438,25.312
0.557,0.307,0.39,24.982
0.494,0.291,0.317,24.296
0.47000000000000003,0.34800000000000003,0.224,23.234
0.333,0.255,0.14100000000000001,21.403
0.10300000000000001,0.08,0.051000000000000004,18.54
0.0,0.002,0.001,15.806000000000001
0.0,0.0,0.0,14.347
0.0,0.0,0.0,13.652
0.0,0.0,0.0,13.16
0.0,0.0,0.0,12.769
0.0,0.0,0.0,12.419
0.0,0.0,0.0,12.156
0.0,0.0,0.0,11.954
0.0,0.0,0.0,11.79
0.0,0.0,0.0,11.644
0.051000000000000004,0.037,0.034,11.846
0.166,0.081,0.114,12.625
0.28,0.114,0.20800000000000002,13.587
0.341,0.10200000000000001,0.291,14.713
0.39,0.091,0.363,16.129
0.35100000000000003,0.034,0.375,17.183
0.5,0.097,0.5,18.529
0.428,0.053,0.453,18.979
0.374,0.04,0.399,18.691
0.257,0.019,0.28300000000000003,17.768
0.188,0.015,0.20800000000000002,16.739
0.149,0.019,0.161,15.928
0.101,0.024,0.10400000000000001,15.208
0.031,0.014,0.034,14.177
0.0,0.001,0.001,13.023
0.0,0.0,0.0,12.223
0.0,0.0,0.0,11.511
0.0,0.0,0.0,10.752
0.0,0.0,0.0,10.138
0.0,0.0,0.0,9.837
0.0,0.0,0.0,9.864
0.0,0.0,0.0,9.956
0.0,0.0,0.0,9.991
0.0,0.0,0.0,10.04
0.007,0.003,0.014,10.023
0.066,0.012,0.074,10.081
0.184,0.035,0.177,10.53
0.342,0.083,0.305,11.579
0.507,0.169,0.419,13.02
0.6900000000000001,0.423,0.41600000000000004,14.838
0.8190000000000001,0.721,0.323,16.574
0.862,0.862,0.262,17.814
0.805,0.73,0.303,18.166
0.733,0.605,0.313,17.963
0.337,0.08600000000000001,0.306,16.507
0.152,0.023,0.159,14.938
0.07100000000000001,0.013000000000000001,0.08,13.682
0.023,0.01,0.029,12.489
0.0,0.0,0.001,11.302
0.0,0.0,0.0,10.311
0.0,0.0,0.0,9.493
0.0,0.0,0.0,9.187
0.0,0.0,0.0,8.892
0.0,0.0,0.0,8.681000000000001
0.0,0.0,0.0,8.51
0.0,0.0,0.0,8.454
0.0,0.0,0.0,8.462
0.0,0.0,0.0,8.573
0.017,0.01,0.021,8.946
0.063,0.013000000000000001,0.069,9.684
0.201,0.05,0.181,10.793
0.317,0.077,0.28400000000000003,11.928
0.465,0.145,0.392,13.29
0.6000000000000001,0.263,0.453,15.085
0.603,0.233,0.492,16.446
0.53,0.139,0.491,16.883
0.583,0.23600000000000002,0.465,17.294
0.613,0.359,0.385,17.484
0.597,0.421,0.299,17.292
0.548,0.437,0.216,16.705
0.392,0.315,0.14,15.652
0.089,0.064,0.049,14.102
0.0,0.001,0.001,12.215
0.0,0.0,0.0,11.357
0.0,0.0,0.0,10.931000000000001
0.0,0.0,0.0,10.578
0.0,0.0,0.0,10.412
0.0,0.0,0.0,10.246
0.0,0.0,0.0,10.036
0.0,0.0,0.0,9.987
0.0,0.0,0.0,9.955
0.0,0.0,0.0,10.014
0.015,0.009000000000000001,0.019,10.213
0.079,0.021,0.08,10.774000000000001
0.148,0.026000000000000002,0.149,11.432
0.275,0.053,0.26,12.423
0.525,0.22,0.395,14.123
0.638,0.382,0.387,15.664
0.781,0.6930000000000001,0.295,17.431
0.8210000000000001,0.8190000000000001,0.243,18.92
0.835,0.884,0.20700000000000002,19.862
0.8140000000000001,0.864,0.195,20.114
0.771,0.808,0.18,19.776
0.6900000000000001,0.704,0.155,18.872
0.55,0.546,0.112,17.409
0.194,0.177,0.051000000000000004,15.251
0.0,0.003,0.001,12.646
0.0,0.0,0.0,11.244
0.0,0.0,0.0,10.698
0.0,0.0,0.0,10.505
0.0,0.0,0.0,10.3
0.0,0.0,0.0,10.149
0.0,0.0,0.0,10.106
0.0,0.0,0.0,10.053
0.0,0.0,0.0,9.805
0.0,0.001,0.0,9.669
0.074,0.062,0.034,10.132
0.28300000000000003,0.203,0.11800000000000001,11.459
0.647,0.605,0.168,13.557
0.844,0.921,0.158,15.954
0.862,0.9540000000000001,0.17300000000000001,18.376
0.868,0.991,0.161,20.436
0.863,0.992,0.164,21.919
0.853,0.982,0.166,23.061
0.839,0.961,0.167,23.808
0.8170000000000001,0.929,0.164,24.019
0.782,0.879,0.153,23.759
0.719,0.793,0.133,23.052
0.599,0.643,0.098,21.772
0.335,0.34700000000000003,0.047,19.022
