electricity,irradiance_direct,irradiance_diffuse,temperature
0.788,0.848,0.224,28.159
0.789,0.844,0.234,28.763
0.766,0.782,0.258,29.006
0.709,0.651,0.293,28.929
0.646,0.561,0.28200000000000003,28.647
0.54,0.437,0.247,28.083
0.423,0.34700000000000003,0.17500000000000002,27.306
0.338,0.324,0.088,26.377
0.047,0.059000000000000004,0.011,25.258
0.0,0.0,0.0,24.48
0.0,0.0,0.0,24.003
0.0,0.0,0.0,23.624
0.0,0.0,0.0,23.315
0.0,0.0,0.0,23.07
0.0,0.0,0.0,22.883
0.0,0.0,0.0,22.731
0.0,0.0,0.0,22.589
0.0,0.0,0.0,22.439
0.0,0.0,0.0,22.23
0.269,0.295,0.027,22.537
0.5,0.508,0.106,23.818
0.635,0.647,0.162,25.172
0.726,0.763,0.194,26.366
0.771,0.8260000000000001,0.211,27.454
0.79,0.866,0.211,28.354
0.793,0.871,0.216,29.04
0.79,0.87,0.214,29.44
0.772,0.841,0.213,29.546
0.744,0.802,0.202,29.279
0.67,0.6910000000000001,0.189,28.625
0.5690000000000001,0.579,0.146,27.674
0.378,0.378,0.084,26.527
0.064,0.078,0.011,25.304
0.0,0.0,0.0,24.48
0.0,0.0,0.0,23.964
0.0,0.0,0.0,23.545
0.0,0.0,0.0,23.18
0.0,0.0,0.0,22.817
0.0,0.0,0.0,22.405
0.0,0.0,0.0,22.032
0.0,0.0,0.0,21.703
0.0,0.0,0.0,21.414
0.0,0.0,0.0,21.167
0.337,0.376,0.026000000000000002,21.481
0.551,0.581,0.099,22.956
0.686,0.735,0.146,24.423
0.752,0.8180000000000001,0.177,25.74
0.786,0.866,0.193,26.962
0.796,0.861,0.223,28.013
0.784,0.8210000000000001,0.248,28.751
0.712,0.614,0.335,28.87
0.676,0.559,0.332,28.793
0.553,0.363,0.34,28.138
0.509,0.38,0.259,27.438
0.419,0.339,0.177,26.691
0.268,0.23600000000000002,0.09,25.854
0.038,0.048,0.011,24.952
0.0,0.0,0.0,24.259
0.0,0.0,0.0,23.807
0.0,0.0,0.0,23.388
0.0,0.0,0.0,22.975
0.0,0.0,0.0,22.589
0.0,0.0,0.0,22.281
0.0,0.0,0.0,22.023
0.0,0.0,0.0,21.781
0.0,0.0,0.0,21.538
0.0,0.0,0.0,21.287
0.248,0.27,0.027,21.549
0.46,0.449,0.11,22.948
0.602,0.584,0.17400000000000002,24.385
0.734,0.771,0.195,25.897
0.778,0.837,0.212,27.354
0.796,0.877,0.212,28.718
0.796,0.883,0.217,30.049
0.786,0.869,0.22,31.017
0.758,0.8130000000000001,0.229,31.25
0.6970000000000001,0.6990000000000001,0.23800000000000002,30.865
0.527,0.425,0.247,29.819
0.41500000000000004,0.341,0.17400000000000002,28.351
0.246,0.213,0.089,26.63
0.033,0.043000000000000003,0.01,25.322
0.0,0.0,0.0,24.712
0.0,0.0,0.0,24.456
0.0,0.0,0.0,24.277
0.0,0.0,0.0,24.105
0.0,0.0,0.0,23.965
0.0,0.0,0.0,23.833
0.0,0.0,0.0,23.789
0.0,0.0,0.0,23.845
0.0,0.0,0.0,23.743
0.0,0.0,0.0,23.456
0.266,0.294,0.026000000000000002,23.799
0.507,0.524,0.10400000000000001,25.156
0.655,0.6900000000000001,0.156,26.603
0.717,0.756,0.196,28.08
0.757,0.8140000000000001,0.215,29.668
0.777,0.794,0.281,31.183
0.782,0.801,0.29,32.255
0.771,0.778,0.298,32.714
0.747,0.736,0.295,32.574
0.607,0.452,0.34700000000000003,31.791
0.384,0.181,0.30000000000000004,30.544
0.20400000000000001,0.077,0.178,28.998
