electricity,irradiance_direct,irradiance_diffuse,temperature
0.0,0.0,0.0,24.945
0.0,0.0,0.0,24.693
0.0,0.0,0.0,24.514
0.101,0.107,0.025,24.724
0.327,0.277,0.121,26.104
0.461,0.361,0.213,27.736
0.539,0.387,0.299,28.915
0.622,0.448,0.365,29.921
0.657,0.464,0.40900000000000003,30.958
0.669,0.466,0.43,31.803
0.643,0.417,0.44,32.261
0.558,0.292,0.435,32.16
0.393,0.132,0.363,31.455
0.231,0.056,0.233,30.506
0.107,0.026000000000000002,0.117,29.483
0.03,0.012,0.038,28.428
0.0,0.001,0.001,27.345
0.0,0.0,0.0,26.829
0.0,0.0,0.0,26.476
0.0,0.0,0.0,26.129
0.0,0.0,0.0,25.73
0.0,0.0,0.0,25.253
0.0,0.0,0.0,24.776
0.0,0.0,0.0,24.44
0.0,0.0,0.0,24.092
0.0,0.0,0.0,23.683
0.0,0.0,0.0,23.283
0.123,0.131,0.026000000000000002,23.698
0.34800000000000003,0.301,0.122,25.578
0.5730000000000001,0.534,0.196,27.767
0.71,0.725,0.228,29.876
0.74,0.755,0.257,31.569
0.741,0.728,0.296,32.891
0.734,0.6950000000000001,0.322,33.92
0.71,0.644,0.338,34.632
0.641,0.507,0.361,34.852
0.489,0.277,0.357,34.294
0.243,0.069,0.23900000000000002,32.931
0.125,0.037,0.127,31.681
0.049,0.027,0.048,30.607
0.0,0.002,0.002,29.153
0.0,0.0,0.0,28.348
0.0,0.0,0.0,27.738
0.0,0.0,0.0,27.139
0.0,0.0,0.0,26.542
0.0,0.0,0.0,25.978
0.0,0.0,0.0,25.496
0.0,0.0,0.0,25.109
0.0,0.0,0.0,24.859
0.0,0.0,0.0,24.73
0.0,0.0,0.0,24.605
0.075,0.079,0.023,24.937
0.302,0.249,0.12,26.458
0.491,0.41000000000000003,0.20800000000000002,28.686
0.601,0.512,0.274,30.761
0.659,0.561,0.322,32.207
0.6880000000000001,0.582,0.354,33.266
0.656,0.468,0.419,33.874
0.648,0.466,0.41100000000000003,34.406
0.61,0.43,0.387,34.578
0.5,0.297,0.353,34.255
0.29,0.109,0.256,33.371
0.194,0.093,0.155,32.423
0.07100000000000001,0.046,0.055,31.044
0.0,0.002,0.002,29.384
0.0,0.0,0.0,28.326
0.0,0.0,0.0,27.484
0.0,0.0,0.0,26.791
0.0,0.0,0.0,26.159
0.0,0.0,0.0,25.547
0.0,0.0,0.0,25.077
0.0,0.0,0.0,24.83
0.0,0.0,0.0,24.686
0.0,0.0,0.0,24.524
0.0,0.0,0.0,24.339
0.126,0.136,0.025,24.764
0.363,0.326,0.11900000000000001,26.882
0.5720000000000001,0.545,0.19,29.465
0.686,0.6920000000000001,0.23,31.522
0.706,0.66,0.304,32.989
0.6900000000000001,0.5640000000000001,0.379,34.009
0.646,0.41600000000000004,0.459,34.585
0.62,0.368,0.467,34.991
0.501,0.199,0.456,34.9
0.428,0.17400000000000002,0.377,34.721
0.304,0.116,0.269,34.299
0.159,0.058,0.148,33.41
0.062,0.036000000000000004,0.054,32.111
0.0,0.002,0.002,30.139
0.0,0.0,0.0,29.314
0.0,0.0,0.0,28.612
0.0,0.0,0.0,27.867
0.0,0.0,0.0,27.174
0.0,0.0,0.0,26.616
0.0,0.0,0.0,26.131
0.0,0.0,0.0,25.685
0.0,0.0,0.0,25.318
0.0,0.0,0.0,25.044
0.0,0.0,0.0,24.91
0.03,0.029,0.02,25.217
0.099,0.04,0.091,26.245
0.188,0.051000000000000004,0.183,27.757
0.28,0.063,0.28400000000000003,29.202
0.336,0.053,0.364,30.146
0.386,0.056,0.427,30.828
0.403,0.054,0.452,31.324
0.378,0.046,0.429,31.63
0.331,0.04,0.375,31.653
0.252,0.03,0.28600000000000003,31.405
0.17500000000000002,0.024,0.199,30.903
0.106,0.022,0.11900000000000001,30.158
0.036000000000000004,0.014,0.043000000000000003,28.763
0.0,0.001,0.001,26.841
0.0,0.0,0.0,25.851
0.0,0.0,0.0,25.595
0.0,0.0,0.0,25.889
0.0,0.0,0.0,25.954
0.0,0.0,0.0,25.596
0.0,0.0,0.0,24.753
0.0,0.0,0.0,24.025
0.0,0.0,0.0,23.423
0.0,0.0,0.0,22.964
0.0,0.0,0.0,22.581
0.159,0.17,0.027,22.774
0.381,0.336,0.126,24.654
0.508,0.418,0.221,28.173
0.5690000000000001,0.424,0.313,30.686
0.656,0.5650000000000001,0.314,32.325
0.724,0.7010000000000001,0.298,33.892
0.747,0.771,0.279,35.251
0.723,0.717,0.296,36.065
0.683,0.647,0.299,36.267
0.589,0.492,0.30000000000000004,35.937
0.381,0.226,0.263,35.073
0.224,0.127,0.158,33.917
0.055,0.033,0.049,32.185
0.0,0.001,0.001,30.319
0.0,0.0,0.0,29.475
0.0,0.0,0.0,28.923000000000002
0.0,0.0,0.0,28.445
0.0,0.0,0.0,27.926
0.0,0.0,0.0,27.346
0.0,0.0,0.0,26.805
0.0,0.0,0.0,26.261
0.0,0.0,0.0,25.763
0.0,0.0,0.0,25.193
0.0,0.0,0.0,24.579
0.168,0.184,0.024,24.366
0.454,0.447,0.112,25.838
0.61,0.606,0.178,27.908
0.666,0.643,0.23700000000000002,29.74
0.6990000000000001,0.663,0.28,31.32
0.715,0.667,0.31,32.592
0.723,0.682,0.316,33.688
0.7020000000000001,0.64,0.327,34.437
0.675,0.613,0.309,34.79
0.632,0.581,0.271,34.819
0.528,0.462,0.229,34.268
