electricity,irradiance_direct,irradiance_diffuse,temperature
0.588,0.318,0.403,20.463
0.637,0.372,0.422,21.505
0.651,0.399,0.42,22.349
0.664,0.463,0.379,23.132
0.662,0.524,0.32,23.725
0.585,0.447,0.28400000000000003,23.919
0.599,0.555,0.196,23.853
0.442,0.395,0.14100000000000001,23.338
0.304,0.297,0.067,22.321
0.017,0.027,0.005,20.832
0.0,0.0,0.0,19.464
0.0,0.0,0.0,18.406
0.0,0.0,0.0,17.69
0.0,0.0,0.0,17.163
0.0,0.0,0.0,16.562
0.0,0.0,0.0,16.013
0.0,0.0,0.0,15.558
0.0,0.0,0.0,15.189
0.0,0.0,0.0,14.933
0.257,0.263,0.035,15.287
0.541,0.548,0.099,17.661
0.682,0.709,0.146,20.187
0.752,0.794,0.18,22.522
0.788,0.84,0.203,24.188
0.805,0.864,0.217,25.463
0.81,0.872,0.226,26.478
0.796,0.837,0.242,27.175
0.771,0.786,0.253,27.624
0.744,0.752,0.242,27.818
0.719,0.747,0.20800000000000002,27.781
0.624,0.62,0.184,27.33
0.338,0.265,0.148,26.55
0.124,0.097,0.061,25.101
0.009000000000000001,0.017,0.005,23.034
0.0,0.0,0.0,21.714
0.0,0.0,0.0,20.772
0.0,0.0,0.0,19.993
0.0,0.0,0.0,19.348
0.0,0.0,0.0,18.788
0.0,0.0,0.0,18.274
0.0,0.0,0.0,17.765
0.0,0.0,0.0,17.391
0.0,0.0,0.0,17.081
0.218,0.223,0.034,17.208
0.388,0.35000000000000003,0.108,18.909
0.323,0.191,0.192,20.548000000000002
0.518,0.367,0.265,22.037
0.633,0.495,0.304,23.618
0.674,0.507,0.36,24.919
0.733,0.627,0.34,26.04
0.685,0.494,0.399,26.613
0.36,0.054,0.385,25.887
0.512,0.23600000000000002,0.401,25.888
0.659,0.592,0.257,26.048
0.5750000000000001,0.517,0.20800000000000002,25.769
0.434,0.385,0.146,25.159
0.213,0.191,0.068,24.053
0.009000000000000001,0.017,0.005,22.009
0.0,0.0,0.0,20.323
0.0,0.0,0.0,19.505
0.0,0.0,0.0,18.787
0.0,0.0,0.0,18.214
0.0,0.0,0.0,18.203
0.0,0.0,0.0,18.07
0.0,0.0,0.0,17.882
0.0,0.0,0.0,17.663
0.0,0.0,0.0,17.529
0.067,0.062,0.028,17.807
0.223,0.155,0.109,19.065
0.43,0.318,0.196,20.799
0.532,0.382,0.271,22.733
0.653,0.524,0.307,24.143
0.683,0.538,0.34400000000000003,25.186
0.712,0.577,0.355,26.033
0.755,0.6970000000000001,0.309,26.775
0.749,0.707,0.292,27.156
0.748,0.749,0.249,27.272
0.722,0.741,0.214,27.03
0.651,0.658,0.18,26.374
0.497,0.47900000000000004,0.136,25.348
0.266,0.253,0.067,23.79
0.013000000000000001,0.021,0.005,21.571
0.0,0.0,0.0,19.894
0.0,0.0,0.0,18.863
0.0,0.0,0.0,17.746
0.0,0.0,0.0,16.754
0.0,0.0,0.0,15.896
0.0,0.0,0.0,15.094
0.0,0.0,0.0,14.47
0.0,0.0,0.0,14.063
0.0,0.0,0.0,13.784
0.066,0.061,0.027,13.807
0.167,0.098,0.101,14.578
0.248,0.105,0.183,15.837
0.361,0.14400000000000002,0.278,17.158
0.508,0.246,0.361,18.566
0.554,0.242,0.429,19.66
0.491,0.129,0.461,20.052
0.591,0.253,0.47300000000000003,20.526
0.513,0.167,0.454,20.605
0.41300000000000003,0.106,0.385,20.159
0.357,0.108,0.314,19.528
0.375,0.199,0.242,19.068
0.41500000000000004,0.342,0.148,18.59
0.274,0.253,0.068,17.583
0.01,0.018000000000000002,0.004,16.093
0.0,0.0,0.0,15.012
0.0,0.0,0.0,14.261
0.0,0.0,0.0,13.651
0.0,0.0,0.0,13.154
0.0,0.0,0.0,12.72
0.0,0.0,0.0,12.364
0.0,0.0,0.0,12.065
0.0,0.0,0.0,11.765
0.0,0.0,0.0,11.485
0.342,0.359,0.028,11.531
0.506,0.482,0.105,12.69
0.7020000000000001,0.7020000000000001,0.153,14.467
0.789,0.81,0.185,16.298
