electricity,irradiance_direct,irradiance_diffuse,temperature
0.76,0.809,0.245,32.659
0.745,0.749,0.289,33.997
0.723,0.68,0.326,34.959
0.679,0.581,0.354,35.554
0.637,0.535,0.332,35.787
0.47000000000000003,0.29,0.322,35.395
0.308,0.162,0.229,34.72
0.158,0.08600000000000001,0.11900000000000001,33.791
0.055,0.05,0.031,32.282
0.0,0.0,0.0,30.715
0.0,0.0,0.0,29.933
0.0,0.0,0.0,28.679
0.0,0.0,0.0,27.338
0.0,0.0,0.0,26.163
0.0,0.0,0.0,25.227
0.0,0.0,0.0,24.583
0.0,0.0,0.0,24.222
0.0,0.0,0.0,23.947
0.0,0.0,0.0,23.558
0.002,0.007,0.002,23.185
0.179,0.156,0.064,23.63
0.47400000000000003,0.433,0.151,25.437
0.608,0.5670000000000001,0.215,27.741
0.665,0.608,0.271,29.954
0.705,0.657,0.298,31.947
0.727,0.6970000000000001,0.308,33.634
0.724,0.6880000000000001,0.318,34.815
0.6960000000000001,0.633,0.329,35.405
0.6970000000000001,0.6940000000000001,0.272,35.779
0.64,0.625,0.245,35.562
0.342,0.20500000000000002,0.23,34.377
0.20400000000000001,0.134,0.126,33.152
0.044,0.039,0.029,31.398
0.0,0.0,0.0,29.659
0.0,0.0,0.0,28.596
0.0,0.0,0.0,27.529
0.0,0.0,0.0,26.532
0.0,0.0,0.0,25.684
0.0,0.0,0.0,25.053
0.0,0.0,0.0,24.477
0.0,0.0,0.0,23.937
0.0,0.0,0.0,23.516
0.0,0.0,0.0,23.089
0.001,0.006,0.002,22.645
0.229,0.211,0.065,23.12
0.548,0.544,0.14,24.884
0.672,0.685,0.191,27.396
0.731,0.762,0.225,29.845
0.761,0.8230000000000001,0.229,31.966
0.77,0.846,0.23500000000000001,33.704
0.769,0.855,0.23500000000000001,35.128
0.759,0.848,0.229,36.137
0.722,0.783,0.232,36.623
0.658,0.683,0.222,36.517
0.561,0.5640000000000001,0.184,35.933
0.405,0.398,0.121,34.784
0.152,0.16,0.037,32.061
0.0,0.0,0.0,29.189
0.0,0.0,0.0,28.323
0.0,0.0,0.0,27.645
0.0,0.0,0.0,27.201
0.0,0.0,0.0,26.19
0.0,0.0,0.0,25.023
0.0,0.0,0.0,24.179
0.0,0.0,0.0,23.507
0.0,0.0,0.0,22.882
0.0,0.0,0.0,22.341
0.002,0.008,0.002,21.948
0.185,0.165,0.062,22.792
0.445,0.398,0.148,25.229
0.678,0.711,0.181,28.569
0.753,0.839,0.196,31.448
0.773,0.885,0.199,33.593
0.777,0.899,0.20500000000000002,35.283
0.772,0.896,0.20800000000000002,36.533
0.757,0.872,0.211,37.359
0.732,0.834,0.20600000000000002,37.74
0.6980000000000001,0.795,0.186,37.616
0.624,0.6940000000000001,0.157,37.007
0.47800000000000004,0.515,0.109,35.833
0.187,0.202,0.036000000000000004,33.111
0.0,0.0,0.0,30.204
0.0,0.0,0.0,29.706
0.0,0.0,0.0,29.363
0.0,0.0,0.0,28.402
0.0,0.0,0.0,26.816
0.0,0.0,0.0,25.646
0.0,0.0,0.0,24.914
0.0,0.0,0.0,24.361
0.0,0.0,0.0,23.899
0.0,0.0,0.0,23.464
0.003,0.01,0.002,22.971
0.295,0.294,0.062,24.172
0.552,0.5680000000000001,0.131,27.494
0.632,0.647,0.187,31.065
0.678,0.6910000000000001,0.23,33.59
0.707,0.684,0.299,35.605
0.722,0.7030000000000001,0.317,37.209
0.723,0.709,0.32,38.417
0.658,0.541,0.378,38.887
0.516,0.281,0.41000000000000003,38.573
0.41200000000000003,0.20400000000000001,0.334,38.107
0.272,0.123,0.228,37.295
0.11800000000000001,0.05,0.109,36.075
0.021,0.016,0.023,34.052
0.0,0.0,0.0,32.406
0.0,0.0,0.0,31.7
0.0,0.0,0.0,30.48
0.0,0.0,0.0,28.924
0.0,0.0,0.0,27.779
0.0,0.0,0.0,27.009
0.0,0.0,0.0,26.465
0.0,0.0,0.0,26.088
0.0,0.0,0.0,25.655
0.0,0.0,0.0,25.282
0.0,0.004,0.002,25.101
0.12,0.095,0.059000000000000004,26.081
0.258,0.158,0.158,27.381
0.447,0.301,0.258,28.891
0.47700000000000004,0.248,0.356,30.387
0.422,0.092,0.441,31.197
0.356,0.037,0.40900000000000003,31.098
0.28600000000000003,0.017,0.339,30.439
0.215,0.009000000000000001,0.259,29.377
0.176,0.008,0.213,28.377
0.132,0.007,0.162,27.476
0.068,0.004,0.09,26.399
0.032,0.004,0.048,25.315
0.004,0.002,0.011,24.278
0.0,0.0,0.0,23.15
0.0,0.0,0.0,22.045
0.0,0.0,0.0,21.368
0.0,0.0,0.0,21.108
0.0,0.0,0.0,21.009
0.0,0.0,0.0,20.97
0.0,0.0,0.0,21.002
0.0,0.0,0.0,21.204
0.0,0.0,0.0,21.325
0.0,0.0,0.0,21.233
0.0,0.004,0.002,20.989
0.218,0.192,0.07,21.379
0.483,0.424,0.165,23.152
0.643,0.588,0.23500000000000001,25.585
0.727,0.6880000000000001,0.279,27.853
0.6930000000000001,0.5660000000000001,0.355,29.374
0.62,0.336,0.47500000000000003,30.22
0.46900000000000003,0.10200000000000001,0.491,30.265
0.325,0.033,0.37,29.864
0.265,0.026000000000000002,0.303,29.508
0.178,0.016,0.20800000000000002,29.104
0.14100000000000001,0.022,0.159,29.017
0.075,0.019,0.08600000000000001,28.863
0.02,0.014,0.023,28.438
0.0,0.0,0.0,26.918
0.0,0.0,0.0,26.06
0.0,0.0,0.0,25.415
0.0,0.0,0.0,24.789
0.0,0.0,0.0,24.185
0.0,0.0,0.0,23.426
0.0,0.0,0.0,22.981
0.0,0.0,0.0,22.471
0.0,0.0,0.0,22.174
0.0,0.0,0.0,21.959
0.003,0.009000000000000001,0.002,21.573
0.28200000000000003,0.272,0.068,23.445
0.511,0.486,0.153,26.783
0.654,0.647,0.212,29.486
0.737,0.765,0.242,31.435
0.776,0.879,0.20700000000000002,33.039
0.781,0.89,0.215,34.337
0.777,0.888,0.217,35.295
0.765,0.871,0.216,35.917
0.729,0.805,0.22,36.098
0.594,0.543,0.254,35.667
0.357,0.234,0.221,34.693
0.20400000000000001,0.138,0.122,33.589
0.061,0.058,0.031,31.595
0.0,0.0,0.0,29.497
0.0,0.0,0.0,28.83
0.0,0.0,0.0,28.245
0.0,0.0,0.0,27.606
0.0,0.0,0.0,26.777
0.0,0.0,0.0,25.907
0.0,0.0,0.0,25.036
0.0,0.0,0.0,24.217
0.0,0.0,0.0,23.633
0.0,0.0,0.0,23.193
0.003,0.01,0.002,22.819
0.391,0.41200000000000003,0.061,23.818
0.612,0.656,0.125,26.338
0.708,0.776,0.168,29.157
0.752,0.837,0.195,31.555
0.772,0.88,0.202,33.436
0.777,0.892,0.209,34.911
0.772,0.891,0.211,36.007
0.76,0.875,0.209,36.636
0.732,0.8280000000000001,0.20700000000000002,36.738
0.6980000000000001,0.788,0.185,36.486
0.5680000000000001,0.582,0.17400000000000002,35.568
0.456,0.47800000000000004,0.11,34.217
0.169,0.181,0.035,32.053
0.0,0.0,0.0,29.829
0.0,0.0,0.0,28.642
0.0,0.0,0.0,27.648
0.0,0.0,0.0,26.863
0.0,0.0,0.0,26.12
0.0,0.0,0.0,25.378
0.0,0.0,0.0,24.697
0.0,0.0,0.0,24.112
0.0,0.0,0.0,23.639
0.0,0.0,0.0,23.261
0.003,0.01,0.002,22.939
0.395,0.419,0.06,24.167
0.6000000000000001,0.642,0.124,27.188
0.677,0.728,0.17400000000000002,30.407
0.617,0.547,0.27,32.438
0.522,0.226,0.452,33.21
0.511,0.16,0.503,33.578
0.492,0.126,0.51,33.654
0.451,0.10300000000000001,0.47500000000000003,33.523
0.417,0.111,0.421,33.414
0.323,0.084,0.323,32.919
0.191,0.044,0.198,31.869
0.079,0.02,0.089,30.447
0.012,0.007,0.018000000000000002,28.872
0.0,0.0,0.0,27.622
0.0,0.0,0.0,26.942
0.0,0.0,0.0,26.441
0.0,0.0,0.0,26.014
0.0,0.0,0.0,25.667
0.0,0.0,0.0,25.322
0.0,0.0,0.0,24.886
0.0,0.0,0.0,24.547
0.0,0.0,0.0,24.25
0.0,0.0,0.0,24.027
0.0,0.003,0.002,23.933
0.14100000000000001,0.116,0.062,24.796
0.29,0.19,0.165,27.005
0.47500000000000003,0.333,0.265,29.483
0.503,0.275,0.367,31.058
0.439,0.091,0.467,31.832
0.335,0.025,0.395,31.5
0.258,0.011,0.311,30.249
0.18,0.005,0.221,28.844
0.127,0.003,0.161,27.657
0.08700000000000001,0.003,0.114,26.848
0.053,0.002,0.075,26.403
0.018000000000000002,0.001,0.032,26.033
0.0,0.001,0.006,25.528
0.0,0.0,0.0,25.072
0.0,0.0,0.0,24.623
0.0,0.0,0.0,24.109
0.0,0.0,0.0,23.478
0.0,0.0,0.0,22.69
0.0,0.0,0.0,22.219
0.0,0.0,0.0,22.139
0.0,0.0,0.0,22.143
0.0,0.0,0.0,21.89
0.0,0.0,0.0,21.696
0.0,0.0,0.001,21.652
0.024,0.009000000000000001,0.032,22.155
0.09,0.015,0.10300000000000001,22.757
0.195,0.027,0.211,23.762
0.337,0.058,0.35100000000000003,25.256
0.47200000000000003,0.145,0.441,26.879
0.519,0.159,0.496,28.337
0.521,0.152,0.511,29.444
0.464,0.111,0.47400000000000003,30.116
0.41400000000000003,0.107,0.41400000000000003,30.618
0.292,0.062,0.301,30.627
0.193,0.046,0.197,30.315
0.097,0.031,0.099,29.503
0.027,0.021,0.025,28.033
0.0,0.0,0.0,26.374
0.0,0.0,0.0,25.376
0.0,0.0,0.0,24.472
0.0,0.0,0.0,23.726
0.0,0.0,0.0,23.167
0.0,0.0,0.0,22.772
0.0,0.0,0.0,22.553
0.0,0.0,0.0,22.396
0.0,0.0,0.0,22.131
0.0,0.0,0.0,21.951
0.0,0.005,0.002,22.004
0.219,0.2,0.064,23.186
0.426,0.361,0.161,25.432
0.5730000000000001,0.489,0.24,27.586
0.633,0.512,0.314,29.311
0.616,0.375,0.431,30.443
0.537,0.17500000000000002,0.514,30.531
0.418,0.06,0.463,29.824
0.393,0.055,0.434,29.052
0.328,0.043000000000000003,0.361,28.184
0.258,0.038,0.279,27.311
0.189,0.039,0.195,26.442
0.098,0.028,0.1,25.4
0.022,0.015,0.024,24.146
0.0,0.0,0.0,23.091
0.0,0.0,0.0,22.608
0.0,0.0,0.0,22.212
0.0,0.0,0.0,21.912
0.0,0.0,0.0,21.798000000000002
0.0,0.0,0.0,21.799
0.0,0.0,0.0,21.815
0.0,0.0,0.0,21.814
0.0,0.0,0.0,21.743
0.0,0.0,0.0,21.589
0.0,0.002,0.001,21.479
