electricity,irradiance_direct,irradiance_diffuse,temperature
0.551,0.257,0.443,28.112
0.606,0.297,0.489,29.388
0.644,0.364,0.486,30.474
0.611,0.324,0.47800000000000004,31.085
0.456,0.14200000000000002,0.435,30.865
0.374,0.123,0.34400000000000003,30.473
0.27,0.1,0.23500000000000001,29.955
0.14400000000000002,0.063,0.122,29.182
0.033,0.025,0.029,27.86
0.0,0.0,0.0,26.324
0.0,0.0,0.0,25.48
0.0,0.0,0.0,24.742
0.0,0.0,0.0,24.159
0.0,0.0,0.0,23.741
0.0,0.0,0.0,23.391
0.0,0.0,0.0,22.997
0.0,0.0,0.0,22.62
0.0,0.0,0.0,22.322
0.0,0.0,0.0,22.066
0.0,0.0,0.0,21.865
0.019,0.01,0.025,22.052
0.10400000000000001,0.028,0.106,23.226
0.247,0.07,0.23,25.085
0.40700000000000003,0.14400000000000002,0.357,27.11
0.447,0.10400000000000001,0.454,28.416
0.43,0.063,0.47200000000000003,28.837
0.393,0.041,0.446,28.706
0.365,0.036000000000000004,0.41500000000000004,28.608
0.34500000000000003,0.043000000000000003,0.382,28.654
0.262,0.035,0.289,28.461
0.148,0.019,0.17,27.986
0.048,0.007,0.065,27.159
0.005,0.003,0.012,26.046
0.0,0.0,0.0,25.128
0.0,0.0,0.0,24.659
0.0,0.0,0.0,24.287
0.0,0.0,0.0,24.079
0.0,0.0,0.0,23.832
0.0,0.0,0.0,23.639
0.0,0.0,0.0,23.493
0.0,0.0,0.0,23.281
0.0,0.0,0.0,23.071
0.0,0.0,0.0,22.972
0.0,0.0,0.0,22.903
0.017,0.007,0.024,23.182
0.077,0.014,0.091,23.994
0.167,0.023,0.185,25.279
0.278,0.038,0.302,26.813
0.376,0.063,0.401,28.263
0.444,0.082,0.47500000000000003,29.579
0.47600000000000003,0.098,0.506,30.566
0.464,0.10200000000000001,0.487,31.043
0.41400000000000003,0.095,0.426,31.029
0.28300000000000003,0.05,0.302,30.392
0.17400000000000002,0.031,0.188,29.519
0.079,0.018000000000000002,0.09,28.471
0.013000000000000001,0.008,0.02,27.194
0.0,0.0,0.0,26.134
0.0,0.0,0.0,25.565
0.0,0.0,0.0,25.083
0.0,0.0,0.0,24.678
0.0,0.0,0.0,24.268
0.0,0.0,0.0,23.82
0.0,0.0,0.0,23.414
0.0,0.0,0.0,23.078
0.0,0.0,0.0,22.827
