lon,lat,Location,State,Start year,End year
145.625,-34.5,Point 141,NSW,2024,2024
146.25,-34.5,Point 142,NSW,2024,2024
147.5,-34.5,Point 143,NSW,2024,2024
148.125,-34.5,Point 144,NSW,2024,2024
148.75,-34.5,Point 145,NSW,2024,2024
149.375,-34.5,Point 146,NSW,2024,2024
150,-34.5,Point 147,NSW,2024,2024
150.625,-34.5,Point 148,NSW,2024,2024
141.25,-34,Point 149,NSW,2024,2024
141.875,-34,Point 150,NSW,2024,2024
142.5,-34,Point 151,NSW,2024,2024
145.625,-34,Point 152,NSW,2024,2024
148.75,-34,Point 153,NSW,2024,2024
150,-34,Point 154,NSW,2024,2024
150.625,-34,Point 155,NSW,2024,2024
141.875,-33.5,Point 156,NSW,2024,2024
145.625,-33.5,Point 157,NSW,2024,2024
148.125,-33.5,Point 158,NSW,2024,2024
148.75,-33.5,Point 159,NSW,2024,2024
149.375,-33.5,Point 160,NSW,2024,2024
150,-33.5,Point 161,NSW,2024,2024
150.625,-33.5,Point 162,NSW,2024,2024
151.25,-33.5,Point 163,NSW,2024,2024
141.25,-33,Point 164,NSW,2024,2024
141.875,-33,Point 165,NSW,2024,2024
148.125,-33,Point 166,NSW,2024,2024
148.75,-33,Point 167,NSW,2024,2024
149.375,-33,Point 168,NSW,2024,2024
150,-33,Point 169,NSW,2024,2024
150.625,-33,Point 170,NSW,2024,2024
151.25,-33,Point 171,NSW,2024,2024
141.25,-32.5,Point 172,NSW,2024,2024
148.125,-32.5,Point 173,NSW,2024,2024
148.75,-32.5,Point 174,NSW,2024,2024
149.375,-32.5,Point 175,NSW,2024,2024
150,-32.5,Point 176,NSW,2024,2024
150.625,-32.5,Point 177,NSW,2024,2024
151.25,-32.5,Point 178,NSW,2024,2024
151.875,-32.5,Point 179,NSW,2024,2024
141.25,-32,Point 180,NSW,2024,2024
147.5,-32,Point 181,NSW,2024,2024
148.125,-32,Point 182,NSW,2024,2024
148.75,-32,Point 183,NSW,2024,2024
150.625,-32,Point 184,NSW,2024,2024
151.25,-32,Point 185,NSW,2024,2024
151.875,-32,Point 186,NSW,2024,2024
152.5,-32,Point 187,NSW,2024,2024
145.625,-31.5,Point 188,NSW,2024,2024
146.25,-31.5,Point 189,NSW,2024,2024
146.875,-31.5,Point 190,NSW,2024,2024
147.5,-31.5,Point 191,NSW,2024,2024
150.625,-31.5,Point 192,NSW,2024,2024
151.25,-31.5,Point 193,NSW,2024,2024
152.5,-31.5,Point 194,NSW,2024,2024
150,-31,Point 195,NSW,2024,2024
150.625,-31,Point 196,NSW,2024,2024
151.25,-31,Point 197,NSW,2024,2024
152.5,-31,Point 198,NSW,2024,2024
150,-30.5,Point 199,NSW,2024,2024
150.625,-30.5,Point 200,NSW,2024,2024
151.25,-30.5,Point 201,NSW,2024,2024
151.875,-30.5,Point 202,NSW,2024,2024
152.5,-30.5,Point 203,NSW,2024,2024
149.375,-30,Point 204,NSW,2024,2024
150,-30,Point 205,NSW,2024,2024
150.625,-30,Point 206,NSW,2024,2024
151.25,-30,Point 207,NSW,2024,2024
151.875,-30,Point 208,NSW,2024,2024
152.5,-30,Point 209,NSW,2024,2024
153.125,-30,Point 210,NSW,2024,2024
149.375,-29.5,Point 211,NSW,2024,2024
150,-29.5,Point 212,NSW,2024,2024
150.625,-29.5,Point 213,NSW,2024,2024
151.25,-29.5,Point 214,NSW,2024,2024
151.875,-29.5,Point 215,NSW,2024,2024
153.125,-29.5,Point 216,NSW,2024,2024
151.25,-29,Point 217,NSW,2024,2024
151.875,-29,Point 218,NSW,2024,2024
152.5,-29,Point 219,NSW,2024,2024
153.125,-29,Point 220,NSW,2024,2024
153.125,-28.5,Point 221,NSW,2024,2024
140.625,-38,Point 222,SA,2024,2024
140.625,-37.5,Point 223,SA,2024,2024
140,-37,Point 224,SA,2024,2024
140.625,-37,Point 225,SA,2024,2024
140,-36.5,Point 226,SA,2024,2024
140.625,-36.5,Point 227,SA,2024,2024
140,-36,Point 228,SA,2024,2024
140.625,-36,Point 229,SA,2024,2024
138.75,-35.5,Point 230,SA,2024,2024
139.375,-35.5,Point 231,SA,2024,2024
140,-35.5,Point 232,SA,2024,2024
137.5,-35,Point 233,SA,2024,2024
138.75,-35,Point 234,SA,2024,2024
139.375,-35,Point 235,SA,2024,2024
135.625,-34.5,Point 236,SA,2024,2024
137.5,-34.5,Point 237,SA,2024,2024
138.75,-34.5,Point 238,SA,2024,2024
139.375,-34.5,Point 239,SA,2024,2024
140.625,-34.5,Point 240,SA,2024,2024
136.25,-34,Point 241,SA,2024,2024
138.125,-34,Point 242,SA,2024,2024
138.75,-34,Point 243,SA,2024,2024
139.375,-34,Point 244,SA,2024,2024
140,-34,Point 245,SA,2024,2024
140.625,-34,Point 246,SA,2024,2024
135.625,-33.5,Point 247,SA,2024,2024
136.25,-33.5,Point 248,SA,2024,2024
136.875,-33.5,Point 249,SA,2024,2024
138.125,-33.5,Point 250,SA,2024,2024
138.75,-33.5,Point 251,SA,2024,2024
135.625,-33,Point 252,SA,2024,2024
136.875,-33,Point 253,SA,2024,2024
137.5,-33,Point 254,SA,2024,2024
138.125,-33,Point 255,SA,2024,2024
138.75,-33,Point 256,SA,2024,2024
137.5,-32.5,Point 257,SA,2024,2024
138.125,-32.5,Point 258,SA,2024,2024
137.5,-32,Point 259,SA,2024,2024
138.125,-32,Point 260,SA,2024,2024
136.875,-31.5,Point 261,SA,2024,2024
137.5,-31.5,Point 262,SA,2024,2024
138.125,-31.5,Point 263,SA,2024,2024
136.875,-31,Point 264,SA,2024,2024
138.125,-31,Point 265,SA,2024,2024
136.25,-30.5,Point 266,SA,2024,2024
136.875,-30.5,Point 267,SA,2024,2024
138.125,-30.5,Point 268,SA,2024,2024
135.625,-30,Point 269,SA,2024,2024
136.25,-30,Point 270,SA,2024,2024
135.625,-29.5,Point 271,SA,2024,2024
143.125,-38.5,Point 272,VIC,2024,2024
143.75,-38.5,Point 273,VIC,2024,2024
146.25,-38.5,Point 274,VIC,2024,2024
146.875,-38.5,Point 275,VIC,2024,2024
141.25,-38,Point 276,VIC,2024,2024
141.875,-38,Point 277,VIC,2024,2024
142.5,-38,Point 278,VIC,2024,2024
143.125,-38,Point 279,VIC,2024,2024
143.75,-38,Point 280,VIC,2024,2024
144.375,-38,Point 281,VIC,2024,2024
145.625,-38,Point 282,VIC,2024,2024
146.25,-38,Point 283,VIC,2024,2024
146.875,-38,Point 284,VIC,2024,2024
147.5,-38,Point 285,VIC,2024,2024
142.5,-37.5,Point 286,VIC,2024,2024
143.125,-37.5,Point 287,VIC,2024,2024
143.75,-37.5,Point 288,VIC,2024,2024
145,-37.5,Point 289,VIC,2024,2024
145.625,-37.5,Point 290,VIC,2024,2024
142.5,-37,Point 291,VIC,2024,2024
143.125,-37,Point 292,VIC,2024,2024
143.75,-37,Point 293,VIC,2024,2024
144.375,-37,Point 294,VIC,2024,2024
145.625,-37,Point 295,VIC,2024,2024
146.25,-37,Point 296,VIC,2024,2024
146.875,-37,Point 297,VIC,2024,2024
147.5,-37,Point 298,VIC,2024,2024
142.5,-36.5,Point 299,VIC,2024,2024
144.375,-36.5,Point 300,VIC,2024,2024
145,-36.5,Point 301,VIC,2024,2024
145.625,-36.5,Point 302,VIC,2024,2024
146.25,-36.5,Point 303,VIC,2024,2024
146.875,-36.5,Point 304,VIC,2024,2024
147.5,-36.5,Point 305,VIC,2024,2024
148.125,-36.5,Point 306,VIC,2024,2024
142.5,-36,Point 307,VIC,2024,2024
143.75,-36,Point 308,VIC,2024,2024
144.375,-36,Point 309,VIC,2024,2024
145,-36,Point 310,VIC,2024,2024
145.625,-36,Point 311,VIC,2024,2024
147.5,-36,Point 312,VIC,2024,2024
142.5,-35.5,Point 313,VIC,2024,2024
143.125,-35.5,Point 314,VIC,2024,2024
143.75,-35.5,Point 315,VIC,2024,2024
142.5,-35,Point 316,VIC,2024,2024
143.125,-35,Point 317,VIC,2024,2024
141.25,-34.5,Point 318,VIC,2024,2024
141.875,-34.5,Point 319,VIC,2024,2024
146.25,-43,Point 320,TAS,2024,2024
146.875,-43,Point 321,TAS,2024,2024
147.5,-43,Point 322,TAS,2024,2024
146.25,-42.5,Point 323,TAS,2024,2024
146.875,-42.5,Point 324,TAS,2024,2024
147.5,-42.5,Point 325,TAS,2024,2024
145.625,-42,Point 326,TAS,2024,2024
146.25,-42,Point 327,TAS,2024,2024
146.875,-42,Point 328,TAS,2024,2024
147.5,-42,Point 329,TAS,2024,2024
145,-41.5,Point 330,TAS,2024,2024
145.625,-41.5,Point 331,TAS,2024,2024
146.25,-41.5,Point 332,TAS,2024,2024
