electricity,wind_speed
0.577,9.458
0.558,9.313
0.5700000000000001,9.411
0.596,9.615
0.617,9.797
0.658,10.142
0.714,10.666
0.759,11.126
0.756,11.096
0.715,10.672
0.7020000000000001,10.553
0.715,10.676
0.684,10.379
0.612,9.754
0.533,9.114
0.454,8.491
0.389,7.984
0.352,7.689
0.35100000000000003,7.682
0.364,7.789
0.513,8.955
0.579,9.478
0.528,9.074
0.47100000000000003,8.633
0.434,8.337
0.40900000000000003,8.143
0.404,8.11
0.422,8.247
0.461,8.546
0.526,9.054
0.608,9.709
0.679,10.327
0.6920000000000001,10.458
0.662,10.175
0.644,10.022
0.637,9.958
0.622,9.825
0.592,9.579
0.545,9.209
0.467,8.598
0.384,7.9510000000000005
0.34,7.586
0.316,7.385
0.267,6.957
0.269,6.974
0.249,6.788
0.201,6.319
0.17400000000000002,6.008
0.156,5.807
0.149,5.709
0.155,5.782
0.179,6.075
0.231,6.617
0.315,7.373
0.398,8.064
0.442,8.398
0.419,8.229
0.367,7.817
0.308,7.322
0.289,7.152
0.28600000000000003,7.128
0.226,6.568
0.17300000000000001,6.003
0.121,5.346
0.08,4.716
0.05,4.109
0.029,3.566
0.015,3.089
0.003,2.316
0.0,1.473
0.0,0.0
0.0,0.431
0.0,0.775
0.0,0.735
0.0,0.0
0.0,0.0
0.0,0.0
0.008,2.748
0.117,5.282
0.34900000000000003,7.657
0.457,8.523
0.404,8.104
0.342,7.612
0.302,7.264
0.276,7.042
0.264,6.93
0.229,6.596
0.198,6.287
0.192,6.211
0.19,6.192
0.182,6.112
0.146,5.68
0.181,6.094
0.197,6.263
0.178,6.057
0.149,5.714
0.10200000000000001,5.057
0.067,4.473
0.054,4.209
0.062,4.367
0.094,4.94
0.165,5.912
0.324,7.46
0.5720000000000001,9.418
0.6970000000000001,10.501
0.6910000000000001,10.448
0.642,10.002
0.627,9.873
0.584,9.523
0.593,9.598
0.655,10.12
0.607,9.703
0.526,9.061
0.454,8.499
0.402,8.082
0.315,7.376
0.166,5.925
0.111,5.2
0.10300000000000001,5.086
0.069,4.516
0.032,3.658
0.011,2.89
0.006,2.582
0.002,2.082
0.0,1.054
0.0,0.466
0.0,1.256
0.0,1.3599999999999999
0.0,1.138
0.0,1.31
0.001,2.054
0.016,3.14
0.027,3.499
0.016,3.1310000000000002
0.015,3.106
0.023,3.395
0.027,3.5
0.03,3.602
0.038,3.84
0.036000000000000004,3.773
0.011,2.895
0.0,1.7610000000000001
0.0,0.5760000000000001
0.0,0.467
0.0,1.7000000000000002
0.007,2.673
0.027,3.503
0.057,4.272
0.095,4.968
0.146,5.686
0.188,6.176
0.23700000000000002,6.677
0.273,7.006
0.26,6.9
0.28600000000000003,7.13
0.34500000000000003,7.634
0.39,7.993
0.439,8.385
0.47000000000000003,8.621
0.519,9.003
0.555,9.289
0.589,9.562
0.685,10.388
0.662,10.171
0.773,11.295
0.8290000000000001,11.995
0.782,11.393
0.6990000000000001,10.522
0.613,9.757
0.521,9.021
0.41200000000000003,8.164
0.331,7.521
0.289,7.16
0.273,7.008
0.277,7.047
0.334,7.541
0.468,8.605
0.496,8.823
0.368,7.82
0.281,7.083
0.242,6.721
0.214,6.442
0.194,6.231
0.203,6.334
0.225,6.555
0.249,6.79
0.244,6.736
0.186,6.155
0.15,5.727
0.10400000000000001,5.105
0.053,4.178
0.02,3.278
0.005,2.51
0.001,2.021
0.0,1.462
0.0,0.686
0.0,1.574
0.014,3.053
0.045,4.01
0.135,5.532
0.281,7.084
0.28800000000000003,7.138
0.215,6.457
0.158,5.834
0.125,5.412
0.089,4.866
0.044,3.989
0.02,3.294
0.014,3.036
0.016,3.133
0.014,3.058
0.009000000000000001,2.792
0.007,2.661
0.009000000000000001,2.763
0.015,3.067
0.025,3.444
0.034,3.716
0.033,3.681
0.025,3.457
0.015,3.104
0.009000000000000001,2.803
0.007,2.681
0.015,3.095
0.097,5.001
0.379,7.902
0.43,8.309
0.338,7.571
0.262,6.913
0.211,6.413
0.17200000000000001,5.992
0.149,5.71
0.167,5.934
0.156,5.812
0.159,5.8469999999999995
0.161,5.87
0.129,5.458
0.115,5.271
0.113,5.238
0.10200000000000001,5.074
0.08,4.715
0.043000000000000003,3.947
0.011,2.898
0.001,1.9140000000000001
0.0,0.99
0.0,0.0
0.002,2.082
0.065,4.431
0.232,6.62
0.34700000000000003,7.644
0.362,7.76
0.309,7.324
0.323,7.446
0.34400000000000003,7.623
0.321,7.425
0.298,7.235
0.281,7.08
0.264,6.925
0.254,6.834
0.214,6.438
0.222,6.5280000000000005
0.2,6.303
0.23900000000000002,6.689
0.275,7.032
0.274,7.016
0.269,6.978
0.247,6.776
0.214,6.438
0.191,6.206
0.197,6.261
0.209,6.395
0.224,6.549
0.222,6.531
0.23,6.604
0.28200000000000003,7.093
0.28600000000000003,7.124
0.23800000000000002,6.686
0.226,6.569
0.226,6.566
0.23,6.598
0.228,6.58
0.20500000000000002,6.357
0.23,6.609
0.28400000000000003,7.104
0.306,7.305
0.277,7.052
0.28800000000000003,7.138
0.254,6.841
0.234,6.6530000000000005
0.248,6.783
0.292,7.181
0.34800000000000003,7.652
0.42,8.232
0.494,8.803
0.553,9.275
0.578,9.472
0.5750000000000001,9.441
0.53,9.092
0.451,8.477
0.448,8.441
0.452,8.483
0.517,8.985
0.46,8.545
0.46900000000000003,8.617
0.449,8.457
0.425,8.26
0.41000000000000003,8.146
0.38,7.916
0.342,7.61
0.328,7.485
0.432,8.318
0.44,8.388
0.441,8.395
0.463,8.566
0.513,8.958
0.587,9.544
0.657,10.134
0.724,10.767
0.757,11.101
0.765,11.204
0.733,10.849
0.633,9.927
