electricity,wind_speed
0.266,6.944
0.338,7.574
0.379,7.907
0.418,8.217
0.459,8.529
0.481,8.703
0.503,8.88
0.526,9.061
0.531,9.1
0.492,8.781
0.373,7.859
0.332,7.522
0.579,9.478
0.678,10.322
0.5670000000000001,9.385
0.387,7.975
0.23900000000000002,6.689
0.161,5.866
0.17200000000000001,5.99
0.28300000000000003,7.099
0.46900000000000003,8.615
0.787,11.452
0.901,13.241
0.901,13.238
0.878,12.794
0.844,12.21
0.794,11.543
0.774,11.303
0.791,11.502
0.8180000000000001,11.855
0.838,12.13
0.858,12.45
0.88,12.826
0.879,12.801
0.887,12.94
0.863,12.529
0.779,11.349
0.6890000000000001,10.423
0.6000000000000001,9.647
0.40700000000000003,8.128
0.276,7.038
0.2,6.301
0.193,6.226
0.234,6.651
0.268,6.971
0.355,7.715
0.383,7.945
0.34,7.583
0.308,7.322
0.295,7.212
0.312,7.351
0.363,7.776
0.461,8.548
0.548,9.23
0.61,9.731
0.661,10.168
0.66,10.159
0.562,9.341
0.445,8.421
0.40800000000000003,8.138
0.421,8.236
0.446,8.433
0.45,8.465
0.434,8.343
0.427,8.279
0.438,8.373
0.46900000000000003,8.613
0.503,8.88
0.489,8.768
0.47500000000000003,8.653
0.372,7.8469999999999995
0.212,6.421
0.10300000000000001,5.079
0.06,4.34
0.059000000000000004,4.317
0.07100000000000001,4.531
0.074,4.61
0.078,4.668
0.084,4.7780000000000005
0.099,5.025
0.132,5.505
0.213,6.435
0.263,6.916
0.251,6.815
0.241,6.718
0.256,6.853
0.244,6.735
0.182,6.111
0.117,5.281
0.066,4.445
0.045,4.003
0.053,4.19
0.066,4.447
0.061,4.348
0.028,3.542
0.03,3.606
0.065,4.434
0.11,5.188
0.136,5.538
0.162,5.877
0.186,6.153
0.20600000000000002,6.362
0.216,6.472
0.244,6.737
0.294,7.192
0.292,7.183
0.279,7.066
0.341,7.595
0.394,8.025
0.443,8.407
0.451,8.474
0.43,8.311
0.41300000000000003,8.173
0.494,8.813
0.684,10.371
0.726,10.787
0.729,10.814
