country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,ninja,Kevan,11.0,-21.5,149.375,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2023,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,59.5,7.84,114,,
2023,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,68.1,7.6,109,,
2023,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,245.4,7.705,102,,
2023,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,215.1,7.851,94,,
2023,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,191.0,7.986,84,,
2023,1,1,5,0,13.8,-107,88.2,11.8,29,42.0,0,11.000000000000002,0,1001.7,179.3,7.939,73,,
2023,1,1,6,0,14.2,-98,82.3,12.5,78,150.0,0,107.69329045103224,0,1002.3,159.8,7.839,62,,
2023,1,1,7,0,14.8,-88,90.4,13.2,52,286.0,0,283.79042937024803,0,1003,138.1,8.5,51,,
2023,1,1,8,0,15.4,-76,88.5,13.9,95,508.0,0,524.1818607820287,0,1003.7,28.5,8.542,40,,
2023,1,1,9,0,15.9,-60,80.8,13.5,179,644.0,0,741.6255730769079,0,1004,263.1,8.423,30,,
2023,1,1,10,0,16.4,-33,59.9,12.3,405,698.0000000000001,7,887.1613721090433,0,1004.1,258.3,8.34,21,,
2023,1,1,11,0,16.9,6,25.9,10.9,426,768.0,353,1005.8992254444902,0,1004.2,235.9,8.319,19,,
2023,1,1,12,0,17.1,42,5.9,9.7,228,759.0,734,1028.523915159458,0,1004.4,243.1,8.341,23,,
2023,1,1,13,0,17.2,65,7.9,8.6,236,756.0,628,994.6809924230682,0,1004.7,234.4,8.445,32,,
2023,1,1,14,0,17.2,80,4.1,7.6,155,682.0,606,862.7351129881307,0,1005,232.8,8.682,43,,
2023,1,1,15,0,16.9,91,0,7,74,676.0,544,721.5041338064118,0,1005.3,227.0,8.938,54,,
2023,1,1,16,0,16.3,100,0.2,6.8,65,563.0,349,493.3994880936906,0,1005.7,217.0,9.178,66,,
2023,1,1,17,0,15.6,109,12.4,6.7,75,346.0,117,231.71866265908008,0,1006.1,220.5,9.311,77,,
2023,1,1,18,0,14.7,118,6.9,6.7,30,88.0,10,29.664411251648566,0,1006.5,221.9,9.127,87,,
2023,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,0.0,0,1006.9,210.6,8.883,96,,
