country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,ninja,Kevan,11.0,-33.0,150.625,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2023,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,59.5,5.357,114,,
2023,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,68.1,4.431,109,,
2023,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,245.4,3.813,102,,
2023,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,215.1,4.361,94,,
2023,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,191.0,4.782,84,,
2023,1,1,5,0,13.8,-107,88.2,11.8,29,0.0,0,0.0,0,1001.7,179.3,5.591,73,,
2023,1,1,6,0,14.2,-98,82.3,12.5,78,79.0,0,39.45851301782266,0,1002.3,159.8,4.946,62,,
2023,1,1,7,0,14.8,-88,90.4,13.2,52,227.0,0,174.2283637321811,0,1003,138.1,5.661,51,,
2023,1,1,8,0,15.4,-76,88.5,13.9,95,637.0,0,434.1353349879229,0,1003.7,28.5,6.017,40,,
2023,1,1,9,0,15.9,-60,80.8,13.5,179,764.0,0,658.4975765590057,0,1004,263.1,5.724,30,,
2023,1,1,10,0,16.4,-33,59.9,12.3,405,821.0000000000001,7,844.8930422244639,0,1004.1,258.3,5.706,21,,
2023,1,1,11,0,16.9,6,25.9,10.9,426,783.0,353,948.4018298395224,0,1004.2,235.9,5.886,19,,
2023,1,1,12,0,17.1,42,5.9,9.7,228,674.0,734,963.721594366206,0,1004.4,243.1,6.235,23,,
2023,1,1,13,0,17.2,65,7.9,8.6,236,625.0,628,954.5807385032316,0,1004.7,234.4,6.861,32,,
2023,1,1,14,0,17.2,80,4.1,7.6,155,566.0000000000001,606,884.9521440648415,0,1005,232.8,7.567,43,,
2023,1,1,15,0,16.9,91,0,7,74,354.0,544,673.5253136535725,0,1005.3,227.0,8.343,54,,
2023,1,1,16,0,16.3,100,0.2,6.8,65,210.0,349,461.7727129003497,0,1005.7,217.0,9.239,66,,
2023,1,1,17,0,15.6,109,12.4,6.7,75,194.0,117,328.70231994605274,0,1006.1,220.5,9.799,77,,
2023,1,1,18,0,14.7,118,6.9,6.7,30,151.0,10,181.8101431600914,0,1006.5,221.9,10.014,87,,
2023,1,1,19,0,13.5,129,0.6,6.8,0,75.0,0,50.27106781067826,0,1006.9,210.6,9.679,96,,
2023,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,198.9,8.781,104,,
2023,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,202.4,8.473,111,,
2023,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,198.5,7.042,115,,
2023,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,181.4,5.851,116,,
2023,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,139.9,4.865,114,,
2023,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,93.8,4.062,109,,
2023,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,85.9,3.031,102,,
2023,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,95.5,2.136,94,,
2023,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,89.6,1.613,84,,
2023,1,2,5,0,14.1,-107,62.1,10.9,84,0.0,0,0.0,0,1007.1,78.4,1.416,74,,
2023,1,2,6,0,15.5,-98,66.4,11.7,147,231.0,0,46.778715171678215,0,1007,74.0,1.198,62,,
2023,1,2,7,0,17.1,-88,49.3,12.4,326,484.0,3,217.7214541709381,0,1006.8,84.0,3.406,51,,
2023,1,2,8,0,18.7,-76,27.8,13.1,431,723.0,148,453.9853651401058,0,1006.5,85.9,3.943,40,,
2023,1,2,9,0,19.5,-60,23.1,13.4,492,804.0,211,669.8992972024175,0,1006.1,83.1,3.292,30,,
2023,1,2,10,0,19.8,-33,47.7,13.3,440,849.0,72,854.8146426380772,0,1005.5,83.5,2.683,22,,
2023,1,2,11,0,19.9,6,51.5,13.2,487,886.0,0,991.1020887190538,0,1005,83.1,2.36,19,,
